cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
12208,2016-03-14,"BIO, BIOB",TSINGOS CHRISTINE A,,0001315406-16-000032,2016-03-14,M,200.0,84.57,4879.0979,D,,,,,,
12208,2016-03-14,"BIO, BIOB",TSINGOS CHRISTINE A,,0001315406-16-000032,2016-03-14,S,200.0,138.65,4679.0979,D,,,,,,
12208,2016-06-13,"BIO, BIOB",SCHWARTZ ALICE N,,0001315406-16-000036,2016-06-10,S,7000.0,147.02,1806651.0,I,,,,,,
12208,2016-06-14,"BIO, BIOB",Hall Shannon,,0001652252-16-000075,2016-06-13,S,1291.0,145.29,617.1974,D,,,,,,
12208,2016-08-18,"BIO, BIOB",Crowley Michael,,0001315406-16-000038,2016-08-18,S,669.0,153.0,1868.0,D,,,,,,
12208,2016-09-12,"BIO, BIOB",Magni Giovanni,,0001315406-16-000040,2016-09-10,M,400.0,0.0,13055.0,D,,,,,,
12208,2016-09-12,"BIO, BIOB",Magni Giovanni,,0001315406-16-000040,2016-09-11,M,740.0,0.0,13795.0,D,,,,,,
12208,2016-09-12,"BIO, BIOB",Magni Giovanni,,0001315406-16-000040,2016-09-12,S,438.0,155.019,13357.0,D,,,,,,
12208,2016-09-13,"BIO, BIOB",GOETZ JOHN,,0001652252-16-000108,2016-09-10,F,451.0,157.71,56616.4199,D,,,,,,
12208,2016-09-13,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-16-000112,2016-09-10,M,2000.0,0.0,199763.0,D,,,,,,
12208,2016-09-13,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-16-000112,2016-09-10,F,1044.0,159.8,198719.0,D,,,,,,
12208,2016-09-13,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-16-000112,2016-09-11,M,5800.0,0.0,204519.0,D,,,,,,
12208,2016-09-13,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-16-000112,2016-09-11,F,3027.0,159.8,201492.0,D,,,,,,
12208,2016-09-13,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-16-000112,2016-09-12,M,2617.0,0.0,204109.0,D,,,,,,
12208,2016-09-13,"BIO, BIOB",STARK JAMES R,,0001652252-16-000099,2016-09-12,S,269.0,155.0164,1051.0,D,,,,,,
12208,2016-09-13,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-16-000097,2016-09-10,M,400.0,0.0,5079.0979,D,,,,,,
12208,2016-09-13,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-16-000097,2016-09-12,M,200.0,0.0,5539.0979,D,,,,,,
12208,2016-09-13,"BIO, BIOB",Hall Shannon,,0001652252-16-000106,2016-09-10,M,240.0,0.0,667.012,D,,,,,,
12208,2016-09-13,"BIO, BIOB",HERTIA JOHN,,0001652252-16-000110,2016-09-12,S,728.0,155.0215,9885.0,D,,,,,,
12208,2016-09-13,"BIO, BIOB",GOETZ JOHN,,0001652252-16-000108,2016-09-10,M,1200.0,0.0,57067.4199,D,,,,,,
12208,2016-09-13,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-16-000097,2016-09-12,F,76.0,159.32,5463.0979,D,,,,,,
12208,2016-09-13,"BIO, BIOB",Crowley Michael,,0001652252-16-000095,2016-09-10,M,389.0,0.0,2257.0,D,,,,,,
12208,2016-09-13,"BIO, BIOB",Crowley Michael,,0001652252-16-000095,2016-09-11,M,976.0,0.0,3233.0,D,,,,,,
12208,2016-09-13,"BIO, BIOB",Crowley Michael,,0001652252-16-000095,2016-09-12,S,523.0,155.0195,2710.0,D,,,,,,
12208,2016-09-13,"BIO, BIOB",STARK JAMES R,,0001652252-16-000099,2016-09-11,M,500.0,0.0,1320.0,D,,,,,,
12208,2016-09-13,"BIO, BIOB",HUTTON RONALD W,,0001652252-16-000101,2016-09-10,M,150.0,0.0,2635.0993,D,,,,,,
12208,2016-09-13,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-16-000112,2016-09-12,F,1366.0,159.32,202743.0,D,,,,,,
12208,2016-09-13,"BIO, BIOB",Hall Shannon,,0001652252-16-000106,2016-09-11,M,840.0,0.0,1507.012,D,,,,,,
12208,2016-09-13,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-16-000097,2016-09-11,F,249.0,157.71,5339.0979,D,,,,,,
12208,2016-09-13,"BIO, BIOB",HUTTON RONALD W,,0001652252-16-000101,2016-09-10,F,57.0,157.71,2578.0993,D,,,,,,
12208,2016-09-13,"BIO, BIOB",HUTTON RONALD W,,0001652252-16-000101,2016-09-11,M,300.0,0.0,2878.0993,D,,,,,,
12208,2016-09-13,"BIO, BIOB",HUTTON RONALD W,,0001652252-16-000101,2016-09-11,F,114.0,157.71,2764.0993,D,,,,,,
12208,2016-09-13,"BIO, BIOB",HUTTON RONALD W,,0001652252-16-000101,2016-09-12,M,140.0,0.0,2904.0993,D,,,,,,
12208,2016-09-13,"BIO, BIOB",HUTTON RONALD W,,0001652252-16-000101,2016-09-12,F,53.0,159.32,2851.0993,D,,,,,,
12208,2016-09-13,"BIO, BIOB",STARK JAMES R,,0001652252-16-000099,2016-09-10,M,200.0,0.0,820.0,D,,,,,,
12208,2016-09-13,"BIO, BIOB",HERTIA JOHN,,0001652252-16-000110,2016-09-10,M,600.0,0.0,9313.0,D,,,,,,
12208,2016-09-13,"BIO, BIOB",HERTIA JOHN,,0001652252-16-000110,2016-09-09,S,2689.0,158.57,8713.0,D,,,,,,
12208,2016-09-13,"BIO, BIOB",Hall Shannon,,0001652252-16-000106,2016-09-12,S,414.0,155.0169,1093.012,D,,,,,,
12208,2016-09-13,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-16-000097,2016-09-10,F,151.0,157.71,4928.0979,D,,,,,,
12208,2016-09-13,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-16-000097,2016-09-11,M,660.0,0.0,5588.0979,D,,,,,,
12208,2016-09-13,"BIO, BIOB",GOETZ JOHN,,0001652252-16-000108,2016-09-11,M,1900.0,0.0,58516.4199,D,,,,,,
12208,2016-09-13,"BIO, BIOB",GOETZ JOHN,,0001652252-16-000108,2016-09-11,F,915.0,157.71,57601.4199,D,,,,,,
12208,2016-09-13,"BIO, BIOB",GOETZ JOHN,,0001652252-16-000108,2016-09-12,M,300.0,0.0,57901.4199,D,,,,,,
12208,2016-09-13,"BIO, BIOB",GOETZ JOHN,,0001652252-16-000108,2016-09-12,F,157.0,159.32,57744.4199,D,,,,,,
12208,2016-09-13,"BIO, BIOB",HERTIA JOHN,,0001652252-16-000110,2016-09-11,M,1300.0,0.0,10613.0,D,,,,,,
12208,2016-09-14,"BIO, BIOB",Hall Shannon,,0001652252-16-000116,2016-09-12,M,240.0,0.0,1333.012,D,,,,,,
12208,2016-09-14,"BIO, BIOB",Crowley Michael,,0001652252-16-000114,2016-09-13,S,127.0,158.09,2917.0,D,,,,,,
12208,2016-09-14,"BIO, BIOB",Crowley Michael,,0001652252-16-000114,2016-09-12,M,334.0,0.0,3044.0,D,,,,,,
12208,2016-09-14,"BIO, BIOB",Hall Shannon,,0001652252-16-000116,2016-09-13,S,92.0,158.0791,1241.012,D,,,,,,
12208,2016-09-14,"BIO, BIOB",HERTIA JOHN,,0001652252-16-000118,2016-09-13,S,228.0,158.0829,10257.0,D,,,,,,
12208,2016-09-14,"BIO, BIOB",Magni Giovanni,,0001652252-16-000120,2016-09-12,M,240.0,0.0,13597.0,D,,,,,,
12208,2016-09-14,"BIO, BIOB",Magni Giovanni,,0001652252-16-000120,2016-09-13,S,92.0,158.0724,13505.0,D,,,,,,
12208,2016-09-14,"BIO, BIOB",HERTIA JOHN,,0001652252-16-000118,2016-09-12,M,600.0,0.0,10485.0,D,,,,,,
12208,2016-09-14,"BIO, BIOB",STARK JAMES R,,0001652252-16-000122,2016-09-13,S,76.0,158.09,1175.0,D,,,,,,
12208,2016-09-14,"BIO, BIOB",STARK JAMES R,,0001652252-16-000122,2016-09-12,M,200.0,0.0,1251.0,D,,,,,,
12208,2016-10-05,"BIO, BIOB",SCHWARTZ ALICE N,,0001652252-16-000124,2016-09-12,G,6370.0,0.0,1800281.0,I,,,,,,
12208,2016-11-08,"BIO, BIOB",Crowley Michael,,0001652252-16-000126,2016-11-04,M,231.0,0.0,3148.0,D,,,,,,
12208,2016-11-08,"BIO, BIOB",GOETZ JOHN,,0001652252-16-000128,2016-11-04,F,126.0,164.74,57917.7287,D,,,,,,
12208,2016-11-08,"BIO, BIOB",GOETZ JOHN,,0001652252-16-000128,2016-11-04,M,240.0,0.0,58043.7287,D,,,,,,
12208,2016-11-08,"BIO, BIOB",HERTIA JOHN,,0001652252-16-000130,2016-11-07,S,227.0,165.62,10630.0,D,,,,,,
12208,2016-11-08,"BIO, BIOB",HERTIA JOHN,,0001652252-16-000130,2016-11-04,M,600.0,0.0,10857.0,D,,,,,,
12208,2016-11-08,"BIO, BIOB",HUTTON RONALD W,,0001652252-16-000132,2016-11-04,F,53.0,164.74,2950.1194,D,,,,,,
12208,2016-11-08,"BIO, BIOB",HUTTON RONALD W,,0001652252-16-000132,2016-11-04,M,140.0,0.0,3003.1194,D,,,,,,
12208,2016-11-08,"BIO, BIOB",Magni Giovanni,,0001652252-16-000134,2016-11-07,S,91.0,165.62,13654.0,D,,,,,,
12208,2016-11-08,"BIO, BIOB",Crowley Michael,,0001652252-16-000126,2016-11-07,S,88.0,165.62,3060.0,D,,,,,,
12208,2016-11-08,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-16-000136,2016-11-04,F,1253.0,164.74,203890.0,D,,,,,,
12208,2016-11-08,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-16-000136,2016-11-04,M,2400.0,0.0,205143.0,D,,,,,,
12208,2016-11-08,"BIO, BIOB",STARK JAMES R,,0001652252-16-000138,2016-11-07,S,76.0,165.62,1299.0,D,,,,,,
12208,2016-11-08,"BIO, BIOB",STARK JAMES R,,0001652252-16-000138,2016-11-04,M,200.0,0.0,1375.0,D,,,,,,
12208,2016-11-08,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-16-000140,2016-11-04,F,76.0,164.74,5587.0979,D,,,,,,
12208,2016-11-08,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-16-000140,2016-11-04,M,200.0,0.0,5663.0979,D,,,,,,
12208,2016-11-08,"BIO, BIOB",Hall Shannon,,0001652252-16-000142,2016-11-07,S,84.0,165.62,1390.1053,D,,,,,,
12208,2016-11-08,"BIO, BIOB",Hall Shannon,,0001652252-16-000142,2016-11-04,M,220.0,0.0,1474.1053,D,,,,,,
12208,2016-11-08,"BIO, BIOB",Magni Giovanni,,0001652252-16-000134,2016-11-04,M,240.0,0.0,13745.0,D,,,,,,
12208,2016-11-09,"BIO, BIOB",STARK JAMES R,,0001652252-16-000144,2016-11-09,S,1299.0,171.4202,0.0,D,,,,,,
12208,2016-12-30,"BIO, BIOB",SCHWARTZ ALICE N,,0001315406-16-000044,2016-12-09,G,468.0,0.0,439562.0,I,,,,,,
12208,2016-12-30,"BIO, BIOB",SCHWARTZ NORMAN D,,0001315406-16-000043,2016-12-09,G,78.0,0.0,203968.0,D,,,,,,
12208,2017-01-06,"BIO, BIOB",SCHWARTZ STEVEN D,,0001652252-17-000002,2016-12-09,G,78.0,0.0,4304.0,D,,,,,,
12208,2017-03-02,"BIO, BIOB",GOETZ JOHN,,0001652252-17-000004,2017-03-02,M,3500.0,75.32,61422.3998,D,,,,,,
12208,2017-03-02,"BIO, BIOB",GOETZ JOHN,,0001652252-17-000004,2017-03-02,S,3500.0,196.3396,57922.3998,D,,,,,,
12208,2017-03-07,"BIO, BIOB",Magni Giovanni,,0001652252-17-000006,2017-03-06,M,3500.0,75.32,16156.0,D,,,,,,
12208,2017-03-07,"BIO, BIOB",Magni Giovanni,,0001652252-17-000006,2017-03-06,S,998.0,196.1637,12656.0,D,,,,,,
12208,2017-03-08,"BIO, BIOB",Crowley Michael,,0001652252-17-000008,2017-03-07,S,300.0,196.1343,2760.0,D,,,,,,
12208,2017-05-11,"BIO, BIOB",GOETZ JOHN,,0001652252-17-000031,2017-05-10,M,3500.0,74.27,61470.1596,D,,,,,,
12208,2017-05-11,"BIO, BIOB",GOETZ JOHN,,0001652252-17-000031,2017-05-10,F,2271.0,223.0,59199.1596,D,,,,,,
12208,2017-05-11,"BIO, BIOB",GOETZ JOHN,,0001652252-17-000031,2017-05-11,M,3500.0,88.0,64674.1596,D,,,,,,
12208,2017-05-11,"BIO, BIOB",GOETZ JOHN,,0001652252-17-000031,2017-05-11,S,3500.0,220.1686,61174.1596,D,,,,,,
12208,2017-05-19,"BIO, BIOB",Magni Giovanni,,0001315406-17-000004,2017-05-18,S,2113.0,220.2301,10543.0,D,,,,,,
12208,2017-05-25,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-17-000033,2017-05-23,M,37500.0,75.0,241468.0,D,,,,,,
12208,2017-05-25,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-17-000033,2017-05-23,F,25605.0,216.0,215863.0,D,,,,,,
12208,2017-05-30,"BIO, BIOB",HINCKLEY GREGORY K,,0001315406-17-000006,2017-05-26,P,500.0,219.5849,500.0,D,,,,,,
12208,2017-06-01,"BIO, BIOB",Hall Shannon,,0001652252-17-000035,2017-05-31,S,900.0,222.6517,560.1019,D,,,,,,
12208,2017-06-05,"BIO, BIOB",SCHWARTZ NORMAN D,,0001315406-17-000012,2017-06-01,J,20588.0,0.0,236451.0,D,,,,,,
12208,2017-06-05,"BIO, BIOB",SCHWARTZ STEVEN D,,0001315406-17-000010,2017-06-01,J,20588.0,0.0,24892.0,D,,,,,,
12208,2017-06-05,"BIO, BIOB",SCHWARTZ ALICE N,,0001315406-17-000008,2017-06-01,J,41176.0,0.0,0.0,I,,,,,,
12208,2017-08-11,"BIO, BIOB",GOETZ JOHN,,0001315406-17-000014,2017-08-10,F,1978.0,215.0,61833.3235,D,,,,,,
12208,2017-08-11,"BIO, BIOB",GOETZ JOHN,,0001315406-17-000014,2017-08-10,M,2600.0,107.32,63811.3235,D,,,,,,
12208,2017-08-11,"BIO, BIOB",Crowley Michael,,0001315406-17-000016,2017-08-11,S,700.0,215.9088,2060.0,D,,,,,,
12208,2017-09-11,"BIO, BIOB",Crowley Michael,,0001652252-17-000058,2017-09-10,F,147.0,218.42,2676.0,D,,,,,,
12208,2017-09-11,"BIO, BIOB",Crowley Michael,,0001652252-17-000058,2017-09-10,M,389.0,0.0,2823.0,D,,,,,,
12208,2017-09-11,"BIO, BIOB",Crowley Michael,,0001652252-17-000058,2017-09-07,F,226.0,215.44,2434.0,D,,,,,,
12208,2017-09-11,"BIO, BIOB",Crowley Michael,,0001652252-17-000058,2017-09-07,M,600.0,0.0,2660.0,D,,,,,,
12208,2017-09-11,"BIO, BIOB",ERNST TIMOTHY S,,0001652252-17-000060,2017-09-07,F,188.0,218.0,442.865,D,,,,,,
12208,2017-09-11,"BIO, BIOB",ERNST TIMOTHY S,,0001652252-17-000060,2017-09-07,M,500.0,0.0,630.865,D,,,,,,
12208,2017-09-11,"BIO, BIOB",GOETZ JOHN,,0001652252-17-000062,2017-09-07,F,835.0,215.44,63793.3235,D,,,,,,
12208,2017-09-11,"BIO, BIOB",GOETZ JOHN,,0001652252-17-000062,2017-09-07,M,1600.0,0.0,64628.3235,D,,,,,,
12208,2017-09-11,"BIO, BIOB",Hall Shannon,,0001652252-17-000064,2017-09-07,F,226.0,215.44,988.5691,D,,,,,,
12208,2017-09-11,"BIO, BIOB",Hall Shannon,,0001652252-17-000064,2017-09-07,M,600.0,0.0,1214.5691,D,,,,,,
12208,2017-09-11,"BIO, BIOB",HERTIA JOHN,,0001652252-17-000066,2017-09-07,M,600.0,0.0,11230.0,D,,,,,,
12208,2017-09-11,"BIO, BIOB",HUTTON RONALD W,,0001652252-17-000068,2017-09-10,F,57.0,218.42,3176.191,D,,,,,,
12208,2017-09-11,"BIO, BIOB",HUTTON RONALD W,,0001652252-17-000068,2017-09-10,M,150.0,0.0,3233.191,D,,,,,,
12208,2017-09-11,"BIO, BIOB",HERTIA JOHN,,0001652252-17-000066,2017-09-07,F,226.0,215.44,11004.0,D,,,,,,
12208,2017-09-11,"BIO, BIOB",HUTTON RONALD W,,0001652252-17-000068,2017-09-07,M,170.0,0.0,3147.191,D,,,,,,
12208,2017-09-11,"BIO, BIOB",STARK JAMES R,,0001652252-17-000076,2017-09-07,M,300.0,0.0,300.0,D,,,,,,
12208,2017-09-11,"BIO, BIOB",STARK JAMES R,,0001652252-17-000076,2017-09-07,F,113.0,215.44,187.0,D,,,,,,
12208,2017-09-11,"BIO, BIOB",HUTTON RONALD W,,0001652252-17-000068,2017-09-07,F,64.0,215.44,3083.191,D,,,,,,
12208,2017-09-11,"BIO, BIOB",STARK JAMES R,,0001652252-17-000076,2017-09-10,F,76.0,218.42,311.0,D,,,,,,
12208,2017-09-11,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-17-000074,2017-09-07,M,500.0,0.0,6087.0979,D,,,,,,
12208,2017-09-11,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-17-000074,2017-09-07,F,188.0,215.44,5899.0979,D,,,,,,
12208,2017-09-11,"BIO, BIOB",STARK JAMES R,,0001652252-17-000076,2017-09-10,M,200.0,0.0,387.0,D,,,,,,
12208,2017-09-11,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-17-000072,2017-09-07,F,1566.0,215.25,237885.0,D,,,,,,
12208,2017-09-11,"BIO, BIOB",Magni Giovanni,,0001652252-17-000070,2017-09-08,M,400.0,0.0,10943.0,D,,,,,,
12208,2017-09-11,"BIO, BIOB",Magni Giovanni,,0001652252-17-000070,2017-09-08,F,151.0,218.42,10792.0,D,,,,,,
12208,2017-09-11,"BIO, BIOB",Magni Giovanni,,0001652252-17-000070,2017-09-10,M,400.0,0.0,11192.0,D,,,,,,
12208,2017-09-11,"BIO, BIOB",Magni Giovanni,,0001652252-17-000070,2017-09-10,F,151.0,218.42,11041.0,D,,,,,,
12208,2017-09-11,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-17-000072,2017-09-07,M,3000.0,0.0,239451.0,D,,,,,,
12208,2017-09-12,"BIO, BIOB",GOETZ JOHN,,0001652252-17-000078,2017-09-10,F,627.0,218.42,64366.3235,D,,,,,,
12208,2017-09-12,"BIO, BIOB",GOETZ JOHN,,0001652252-17-000078,2017-09-10,M,1200.0,0.0,64993.3235,D,,,,,,
12208,2017-09-12,"BIO, BIOB",Hall Shannon,,0001652252-17-000080,2017-09-11,F,317.0,218.86,1660.5691,D,,,,,,
12208,2017-09-12,"BIO, BIOB",Hall Shannon,,0001652252-17-000080,2017-09-11,M,840.0,0.0,1977.5691,D,,,,,,
12208,2017-09-12,"BIO, BIOB",Hall Shannon,,0001652252-17-000080,2017-09-10,F,91.0,218.42,1137.5691,D,,,,,,
12208,2017-09-12,"BIO, BIOB",Hall Shannon,,0001652252-17-000080,2017-09-10,M,240.0,0.0,1228.5691,D,,,,,,
12208,2017-09-12,"BIO, BIOB",HERTIA JOHN,,0001652252-17-000082,2017-09-11,F,490.0,218.86,12188.0,D,,,,,,
12208,2017-09-12,"BIO, BIOB",GOETZ JOHN,,0001652252-17-000078,2017-09-11,M,1900.0,0.0,66266.3235,D,,,,,,
12208,2017-09-12,"BIO, BIOB",HERTIA JOHN,,0001652252-17-000082,2017-09-11,M,1300.0,0.0,12678.0,D,,,,,,
12208,2017-09-12,"BIO, BIOB",GOETZ JOHN,,0001652252-17-000078,2017-09-11,F,992.0,218.86,65274.3235,D,,,,,,
12208,2017-09-12,"BIO, BIOB",HERTIA JOHN,,0001652252-17-000082,2017-09-10,M,600.0,0.0,11604.0,D,,,,,,
12208,2017-09-12,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-17-000086,2017-09-10,F,151.0,218.42,6148.0979,D,,,,,,
12208,2017-09-12,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-17-000086,2017-09-10,M,400.0,0.0,6299.0979,D,,,,,,
12208,2017-09-12,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-17-000084,2017-09-11,F,3027.0,218.86,241614.0,D,,,,,,
12208,2017-09-12,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-17-000084,2017-09-11,M,5800.0,0.0,244641.0,D,,,,,,
12208,2017-09-12,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-17-000084,2017-09-10,F,1044.0,218.42,238841.0,D,,,,,,
12208,2017-09-12,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-17-000084,2017-09-10,M,2000.0,0.0,239885.0,D,,,,,,
12208,2017-09-12,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-17-000086,2017-09-11,F,249.0,218.86,6559.0979,D,,,,,,
12208,2017-09-12,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-17-000086,2017-09-11,M,660.0,0.0,6808.0979,D,,,,,,
12208,2017-09-12,"BIO, BIOB",HERTIA JOHN,,0001652252-17-000082,2017-09-10,F,226.0,218.42,11378.0,D,,,,,,
12208,2017-09-13,"BIO, BIOB",HUTTON RONALD W,,0001652252-17-000092,2017-09-12,F,53.0,218.04,3449.191,D,,,,,,
12208,2017-09-13,"BIO, BIOB",STARK JAMES R,,0001652252-17-000090,2017-09-11,M,500.0,0.0,811.0,D,,,,,,
12208,2017-09-13,"BIO, BIOB",STARK JAMES R,,0001652252-17-000090,2017-09-11,F,189.0,218.86,622.0,D,,,,,,
12208,2017-09-13,"BIO, BIOB",STARK JAMES R,,0001652252-17-000090,2017-09-12,M,200.0,0.0,822.0,D,,,,,,
12208,2017-09-13,"BIO, BIOB",Crowley Michael,,0001652252-17-000088,2017-09-12,F,126.0,218.04,3492.0,D,,,,,,
12208,2017-09-13,"BIO, BIOB",Crowley Michael,,0001652252-17-000088,2017-09-11,F,368.0,218.86,3284.0,D,,,,,,
12208,2017-09-13,"BIO, BIOB",Crowley Michael,,0001652252-17-000088,2017-09-12,M,334.0,0.0,3618.0,D,,,,,,
12208,2017-09-13,"BIO, BIOB",HUTTON RONALD W,,0001652252-17-000092,2017-09-12,M,140.0,0.0,3502.191,D,,,,,,
12208,2017-09-13,"BIO, BIOB",STARK JAMES R,,0001652252-17-000090,2017-09-12,F,76.0,218.04,746.0,D,,,,,,
12208,2017-09-13,"BIO, BIOB",HUTTON RONALD W,,0001652252-17-000092,2017-09-11,F,114.0,218.86,3362.191,D,,,,,,
12208,2017-09-13,"BIO, BIOB",Crowley Michael,,0001652252-17-000088,2017-09-11,M,976.0,0.0,3652.0,D,,,,,,
12208,2017-09-13,"BIO, BIOB",Magni Giovanni,,0001652252-17-000094,2017-09-12,F,91.0,218.04,11651.0,D,,,,,,
12208,2017-09-13,"BIO, BIOB",HUTTON RONALD W,,0001652252-17-000092,2017-09-11,M,300.0,0.0,3476.191,D,,,,,,
12208,2017-09-13,"BIO, BIOB",Hall Shannon,,0001652252-17-000100,2017-09-12,M,240.0,0.0,1900.5691,D,,,,,,
12208,2017-09-13,"BIO, BIOB",HERTIA JOHN,,0001652252-17-000098,2017-09-12,M,600.0,0.0,12788.0,D,,,,,,
12208,2017-09-13,"BIO, BIOB",HERTIA JOHN,,0001652252-17-000098,2017-09-12,F,226.0,218.04,12562.0,D,,,,,,
12208,2017-09-13,"BIO, BIOB",Hall Shannon,,0001652252-17-000100,2017-09-12,F,91.0,218.04,1809.5691,D,,,,,,
12208,2017-09-13,"BIO, BIOB",GOETZ JOHN,,0001652252-17-000096,2017-09-12,F,157.0,218.04,65417.3235,D,,,,,,
12208,2017-09-13,"BIO, BIOB",Magni Giovanni,,0001652252-17-000094,2017-09-11,M,740.0,0.0,11781.0,D,,,,,,
12208,2017-09-13,"BIO, BIOB",Magni Giovanni,,0001652252-17-000094,2017-09-11,F,279.0,218.86,11502.0,D,,,,,,
12208,2017-09-13,"BIO, BIOB",Magni Giovanni,,0001652252-17-000094,2017-09-12,M,240.0,0.0,11742.0,D,,,,,,
12208,2017-09-13,"BIO, BIOB",GOETZ JOHN,,0001652252-17-000096,2017-09-12,M,300.0,0.0,65574.3235,D,,,,,,
12208,2017-09-14,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-17-000102,2017-09-12,M,2617.0,0.0,244231.0,D,,,,,,
12208,2017-09-14,"BIO, BIOB",Hall Shannon,,0001652252-17-000108,2017-09-13,S,1245.0,221.1969,564.5691,D,,,,,,
12208,2017-09-14,"BIO, BIOB",GOETZ JOHN,,0001652252-17-000106,2017-09-13,M,650.0,107.32,66067.3235,D,,,,,,
12208,2017-09-14,"BIO, BIOB",GOETZ JOHN,,0001652252-17-000106,2017-09-13,F,491.0,220.47,65576.3235,D,,,,,,
12208,2017-09-14,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-17-000104,2017-09-12,M,200.0,0.0,6759.0979,D,,,,,,
12208,2017-09-14,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-17-000104,2017-09-12,F,76.0,218.04,6683.0979,D,,,,,,
12208,2017-09-14,"BIO, BIOB",SCHWARTZ NORMAN D,,0001652252-17-000102,2017-09-12,F,1366.0,218.04,242865.0,D,,,,,,
12208,2017-11-15,"BIO, BIOB",Magni Giovanni,,0001652252-17-000112,2017-11-14,S,2400.0,253.0107,9251.0,D,,,,,,
12208,2017-11-30,"BIO, BIOB",STARK JAMES R,,0001652252-17-000114,2017-11-30,S,746.0,270.5063,0.0,D,,,,,,
12208,2017-12-04,"BIO, BIOB",Crowley Michael,,0001315406-17-000018,2017-12-04,S,1000.0,258.3947,2492.0,D,,,,,,
12208,2017-12-14,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-17-000116,2017-12-14,M,600.0,98.04,7283.0979,D,,,,,,
12208,2017-12-14,"BIO, BIOB",TSINGOS CHRISTINE A,,0001652252-17-000116,2017-12-14,S,4980.0,249.4016,6683.0979,D,,,,,,
12208,2017-12-28,"BIO, BIOB",SCHWARTZ NORMAN D,,0001315406-17-000022,2017-12-05,G,53.0,0.0,242918.0,D,,,,,,
12208,2017-12-28,"BIO, BIOB",SCHWARTZ ALICE N,,0001315406-17-000020,2017-12-05,G,318.0,0.0,439244.0,I,,,,,,
12208,2018-01-09,"BIO, BIOB",SCHWARTZ STEVEN D,,0001315406-18-000002,2017-12-05,G,53.0,0.0,24945.0,D,,,,,,
12208,2018-05-11,"BIO, BIOB",Magni Giovanni,,0001315406-18-000004,2018-05-11,F,1918.0,284.98,10833.0,D,,,,,,
12208,2018-05-11,"BIO, BIOB",Magni Giovanni,,0001315406-18-000004,2018-05-11,M,3500.0,88.0,12751.0,D,,,,,,
12208,2018-05-11,"BIO, BIOB",SCHWARTZ NORMAN D,,0001315406-18-000006,2018-05-11,F,24273.0,284.98,256145.0,D,,,,,,
12208,2018-05-11,"BIO, BIOB",SCHWARTZ NORMAN D,,0001315406-18-000006,2018-05-11,M,37500.0,88.48,280418.0,D,,,,,,
12208,2018-06-14,"BIO, BIOB",Crowley Michael,,0001315406-18-000008,2018-06-13,S,350.0,303.4204,2142.0,D,,,,,,
12208,2018-09-06,"BIO, BIOB",Crowley Michael,,0001652252-18-000021,2018-09-05,M,600.0,0.0,2742.0,D,,,,,,
12208,2018-09-06,"BIO, BIOB",ERNST TIMOTHY S,,0001652252-18-000023,2018-09-05,F,173.0,315.5,872.2674,D,,,,,,
12208,2018-09-06,"BIO, BIOB",ERNST TIMOTHY S,,0001652252-18-000023,2018-09-05,M,500.0,0.0,1045.2674,D,,,,,,
