cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
875320,2019-06-04,VRTX,YOUNG WILLIAM D,,0001209191-19-034251,2019-06-01,A,2381.0,0.0,9311.0,D,,,,,,
875320,2019-06-04,VRTX,SACHS BRUCE I,,0001209191-19-034242,2019-06-01,D,1801.0,,11210.0,D,,,,,,
875320,2019-06-04,VRTX,MCGLYNN MARGARET G,,0001209191-19-034236,2019-06-01,D,1801.0,,4124.0,D,,,,,,
875320,2019-06-04,VRTX,Lee Yuchun,,0001209191-19-034233,2019-06-01,D,1801.0,,4847.0,D,,,,,,
875320,2019-06-04,VRTX,Kearney Terrence C,,0001209191-19-034230,2019-06-01,A,2381.0,0.0,10811.0,D,,,,,,
875320,2019-06-04,VRTX,Garber Alan M,,0001209191-19-034223,2019-06-01,A,1191.0,0.0,5191.0,D,,,,,,
875320,2019-06-04,VRTX,Bhatia Sangeeta N.,,0001209191-19-034219,2019-06-01,A,2381.0,0.0,7260.0,D,,,,,,
875320,2019-06-04,VRTX,Bhatia Sangeeta N.,,0001209191-19-034219,2019-06-03,S,400.0,166.52,6860.0,D,,,,,,
875320,2019-06-20,VRTX,LEIDEN JEFFREY M,,0001209191-19-038237,2019-06-18,S,51781.0,175.33,110536.0,D,,,,,,
875320,2019-06-20,VRTX,LEIDEN JEFFREY M,,0001209191-19-038237,2019-06-18,M,56030.0,77.31,162317.0,D,,,,,,
875320,2019-06-20,VRTX,Arbuckle Stuart A,,0001209191-19-038251,2019-06-19,S,2125.0,181.89,33240.0,D,,,,,,
875320,2019-06-20,VRTX,Arbuckle Stuart A,,0001209191-19-038251,2019-06-19,M,2125.0,131.89,35365.0,D,,,,,,
875320,2019-07-09,VRTX,Parini Michael,,0001209191-19-041580,2019-07-05,M,4250.0,122.45,39253.0,D,,,,,,
875320,2019-07-09,VRTX,Parini Michael,,0001209191-19-041580,2019-07-05,S,2450.0,178.01,36803.0,D,,,,,,
875320,2019-07-15,VRTX,Parini Michael,,0001209191-19-042070,2019-07-12,S,1518.0,175.09,35610.0,D,,,,,,
875320,2019-07-15,VRTX,Parini Michael,,0001209191-19-042070,2019-07-12,M,2125.0,90.29,37128.0,D,,,,,,
875320,2019-08-06,VRTX,Arbuckle Stuart A,,0001209191-19-044833,2019-08-05,S,1553.0,176.44,32240.0,D,,,,,,
875320,2019-08-06,VRTX,Arbuckle Stuart A,,0001209191-19-044833,2019-08-05,M,1553.0,86.52,33793.0,D,,,,,,
875320,2019-08-06,VRTX,Arbuckle Stuart A,,0001209191-19-044833,2019-08-02,S,2155.0,177.78,32240.0,D,,,,,,
875320,2019-08-06,VRTX,Parini Michael,,0001209191-19-044837,2019-08-05,S,700.0,174.74,36633.0,D,,,,,,
875320,2019-08-06,VRTX,Parini Michael,,0001209191-19-044837,2019-08-05,M,2330.0,86.52,37333.0,D,,,,,,
875320,2019-08-06,VRTX,Arbuckle Stuart A,,0001209191-19-044833,2019-08-02,M,2155.0,91.05,34395.0,D,,,,,,
875320,2019-08-12,VRTX,Arbuckle Stuart A,,0001209191-19-045492,2019-08-08,S,2125.0,181.89,33240.0,D,,,,,,
875320,2019-08-12,VRTX,Arbuckle Stuart A,,0001209191-19-045492,2019-08-08,M,2125.0,131.89,35365.0,D,,,,,,
875320,2019-08-15,VRTX,MCGLYNN MARGARET G,,0001209191-19-046107,2019-08-13,M,10000.0,81.54,14124.0,D,,,,,,
875320,2019-08-15,VRTX,MCGLYNN MARGARET G,,0001209191-19-046107,2019-08-13,S,10000.0,185.0,4124.0,D,,,,,,
875320,2019-08-20,VRTX,ALTSHULER DAVID,,0001209191-19-046807,2019-08-19,M,4250.0,131.89,35803.0,D,,,,,,
875320,2019-08-20,VRTX,ALTSHULER DAVID,,0001209191-19-046807,2019-08-19,S,4250.0,186.37,31553.0,D,,,,,,
875320,2019-10-03,VRTX,Tatsis Ourania,,0001209191-19-052177,2019-10-01,S,188.0,169.11,7696.0,D,,,,,,
875320,2019-10-03,VRTX,Tatsis Ourania,,0001209191-19-052177,2019-10-02,S,444.0,167.69,7252.0,D,,,,,,
875320,2019-10-04,VRTX,Bhatia Sangeeta N.,,0001209191-19-052541,2019-10-02,M,1270.0,125.71,7810.0,D,,,,,,
875320,2019-10-04,VRTX,Bhatia Sangeeta N.,,0001209191-19-052541,2019-10-02,S,1960.0,166.08,11668.0,D,,,,,,
875320,2019-10-16,VRTX,Parini Michael,,0001209191-19-053284,2019-10-14,M,2125.0,90.29,37128.0,D,,,,,,
875320,2019-10-16,VRTX,Parini Michael,,0001209191-19-053284,2019-10-14,S,889.0,173.44,36239.0,D,,,,,,
875320,2019-10-21,VRTX,Parini Michael,,0001209191-19-053698,2019-10-17,S,4250.0,177.8,35003.0,D,,,,,,
875320,2019-10-21,VRTX,Parini Michael,,0001209191-19-053698,2019-10-17,M,4250.0,122.45,39253.0,D,,,,,,
875320,2019-10-24,VRTX,ALTSHULER DAVID,,0001209191-19-053923,2019-10-22,S,3669.0,194.37,31553.0,D,,,,,,
875320,2019-10-24,VRTX,MCGLYNN MARGARET G,,0001209191-19-053941,2019-10-22,S,20000.0,190.0,4124.0,D,,,,,,
875320,2019-10-24,VRTX,Sachdev Amit,,0001209191-19-053945,2019-10-22,M,3883.0,86.52,37299.0,D,,,,,,
875320,2019-10-24,VRTX,Sachdev Amit,,0001209191-19-053945,2019-10-22,S,3883.0,190.27,33416.0,D,,,,,,
875320,2019-10-24,VRTX,LEIDEN JEFFREY M,,0001209191-19-053936,2019-10-22,S,72420.0,190.0,106287.0,D,,,,,,
875320,2019-10-24,VRTX,ALTSHULER DAVID,,0001209191-19-053923,2019-10-22,M,3669.0,155.57,35222.0,D,,,,,,
875320,2019-10-24,VRTX,LEIDEN JEFFREY M,,0001209191-19-053936,2019-10-22,M,72420.0,109.14,178707.0,D,,,,,,
875320,2019-10-24,VRTX,Kewalramani Reshma,,0001209191-19-053925,2019-10-22,S,638.0,189.0,13098.0,D,,,,,,
875320,2019-10-24,VRTX,MCGLYNN MARGARET G,,0001209191-19-053941,2019-10-22,M,20000.0,72.14,24124.0,D,,,,,,
875320,2019-10-29,VRTX,Sachdev Amit,,0001209191-19-054333,2019-10-25,M,4311.0,91.05,37727.0,D,,,,,,
875320,2019-10-29,VRTX,Sachdev Amit,,0001209191-19-054333,2019-10-25,S,4311.0,195.01,33416.0,D,,,,,,
875320,2019-10-31,VRTX,Kewalramani Reshma,,0001209191-19-054635,2019-10-30,S,3057.0,199.0,13098.0,D,,,,,,
875320,2019-10-31,VRTX,Kewalramani Reshma,,0001209191-19-054635,2019-10-30,M,3057.0,155.57,16155.0,D,,,,,,
875320,2019-11-04,VRTX,Kearney Terrence C,,0001209191-19-054882,2019-11-01,M,20000.0,81.54,25811.0,D,,,,,,
875320,2019-11-04,VRTX,LEIDEN JEFFREY M,,0001209191-19-054876,2019-10-31,M,8879.0,131.89,115166.0,D,,,,,,
875320,2019-11-04,VRTX,Kearney Terrence C,,0001209191-19-054882,2019-10-31,S,1841.0,200.0,8970.0,D,,,,,,
875320,2019-11-04,VRTX,LEIDEN JEFFREY M,,0001209191-19-054876,2019-10-31,S,8879.0,200.0,106287.0,D,,,,,,
875320,2019-11-04,VRTX,LEIDEN JEFFREY M,,0001209191-19-054876,2019-11-01,S,70290.0,200.0,106287.0,D,,,,,,
875320,2019-11-04,VRTX,Bhatia Sangeeta N.,,0001209191-19-054871,2019-11-01,M,1291.0,152.74,6540.0,D,,,,,,
875320,2019-11-04,VRTX,Kearney Terrence C,,0001209191-19-054882,2019-11-01,S,3159.0,200.0,5811.0,D,,,,,,
875320,2019-11-04,VRTX,LEIDEN JEFFREY M,,0001209191-19-054876,2019-11-01,M,70290.0,109.14,176577.0,D,,,,,,
875320,2019-11-04,VRTX,Bhatia Sangeeta N.,,0001209191-19-054871,2019-11-01,S,1291.0,200.0,5249.0,D,,,,,,
875320,2019-11-06,VRTX,Arbuckle Stuart A,,0001209191-19-055468,2019-11-04,M,2155.0,91.05,35395.0,D,,,,,,
875320,2019-11-06,VRTX,Arbuckle Stuart A,,0001209191-19-055468,2019-11-04,S,2155.0,201.62,33240.0,D,,,,,,
875320,2019-11-06,VRTX,ALTSHULER DAVID,,0001209191-19-055467,2019-11-04,M,1796.0,91.05,33349.0,D,,,,,,
875320,2019-11-06,VRTX,Sachdev Amit,,0001209191-19-055470,2019-11-04,M,2155.0,91.05,35571.0,D,,,,,,
875320,2019-11-06,VRTX,Sachdev Amit,,0001209191-19-055470,2019-11-04,S,500.0,199.77,37013.0,D,,,,,,
875320,2019-11-06,VRTX,Parini Michael,,0001209191-19-055469,2019-11-04,M,2330.0,86.52,37333.0,D,,,,,,
875320,2019-11-06,VRTX,Parini Michael,,0001209191-19-055469,2019-11-04,S,1730.0,200.2,35603.0,D,,,,,,
875320,2019-11-06,VRTX,ALTSHULER DAVID,,0001209191-19-055467,2019-11-04,S,3326.0,200.26,32353.0,D,,,,,,
875320,2019-11-07,VRTX,ALTSHULER DAVID,,0001209191-19-055674,2019-11-06,S,243.0,196.08,32533.0,D,,,,,,
875320,2019-11-07,VRTX,ALTSHULER DAVID,,0001209191-19-055674,2019-11-06,M,1223.0,155.57,32776.0,D,,,,,,
875320,2019-11-13,VRTX,Kewalramani Reshma,,0001209191-19-056327,2019-11-08,M,509.0,155.57,13607.0,D,,,,,,
875320,2019-11-13,VRTX,Kewalramani Reshma,,0001209191-19-056327,2019-11-08,S,509.0,199.0,13098.0,D,,,,,,
875320,2019-11-15,VRTX,Tatsis Ourania,,0001209191-19-056713,2019-11-13,M,2853.0,155.57,10105.0,D,,,,,,
875320,2019-11-15,VRTX,Tatsis Ourania,,0001209191-19-056713,2019-11-13,S,2853.0,205.59,7252.0,D,,,,,,
875320,2019-11-15,VRTX,Parini Michael,,0001209191-19-056709,2019-11-13,M,4892.0,155.57,39895.0,D,,,,,,
875320,2019-11-15,VRTX,Parini Michael,,0001209191-19-056709,2019-11-13,S,4892.0,205.5,35003.0,D,,,,,,
875320,2019-11-15,VRTX,Arbuckle Stuart A,,0001209191-19-056706,2019-11-13,M,8560.0,155.57,41800.0,D,,,,,,
875320,2019-11-15,VRTX,Arbuckle Stuart A,,0001209191-19-056706,2019-11-13,S,8560.0,205.57,33240.0,D,,,,,,
875320,2019-11-19,VRTX,Tatsis Ourania,,0001209191-19-057152,2019-11-15,S,5.0,205.95,7252.0,D,,,,,,
875320,2019-11-19,VRTX,Sachdev Amit,,0001209191-19-057148,2019-11-15,S,57.0,205.95,33416.0,D,,,,,,
875320,2019-11-19,VRTX,Parini Michael,,0001209191-19-057142,2019-11-15,S,84.0,205.95,35003.0,D,,,,,,
875320,2019-11-19,VRTX,LEIDEN JEFFREY M,,0001209191-19-057137,2019-11-15,M,3317.0,109.14,109663.0,D,,,,,,
875320,2019-11-19,VRTX,LEIDEN JEFFREY M,,0001209191-19-057137,2019-11-15,S,3317.0,210.0,106346.0,D,,,,,,
875320,2019-11-19,VRTX,LEIDEN JEFFREY M,,0001209191-19-057137,2019-11-18,M,2941.0,109.14,109287.0,D,,,,,,
875320,2019-11-19,VRTX,LEIDEN JEFFREY M,,0001209191-19-057137,2019-11-18,S,2941.0,210.0,106346.0,D,,,,,,
875320,2019-11-19,VRTX,Kewalramani Reshma,,0001209191-19-057132,2019-11-15,S,61.0,205.95,13098.0,D,,,,,,
875320,2019-11-19,VRTX,Arbuckle Stuart A,,0001209191-19-057126,2019-11-15,S,19.0,205.95,33240.0,D,,,,,,
875320,2019-11-19,VRTX,ALTSHULER DAVID,,0001209191-19-057119,2019-11-15,S,60.0,205.95,31553.0,D,,,,,,
875320,2019-11-20,VRTX,MCGLYNN MARGARET G,,0001209191-19-057431,2019-11-18,G,239.0,0.0,3885.0,D,,,,,,
875320,2019-11-21,VRTX,LEIDEN JEFFREY M,,0001209191-19-057610,2019-11-19,M,64032.0,109.14,170378.0,D,,,,,,
875320,2019-11-21,VRTX,LEIDEN JEFFREY M,,0001209191-19-057610,2019-11-19,S,62886.0,210.41,139994.0,D,,,,,,
875320,2019-11-21,VRTX,Sachdev Amit,,0001209191-19-057609,2019-11-19,M,5000.0,109.14,38416.0,D,,,,,,
875320,2019-11-21,VRTX,Sachdev Amit,,0001209191-19-057609,2019-11-19,S,5000.0,215.0,33416.0,D,,,,,,
875320,2019-11-26,VRTX,Kewalramani Reshma,,0001209191-19-058099,2019-11-25,M,4692.0,187.53,17790.0,D,,,,,,
875320,2019-11-26,VRTX,Sachdev Amit,,0001209191-19-058101,2019-11-25,S,5000.0,220.0,33416.0,D,,,,,,
875320,2019-11-26,VRTX,Sachdev Amit,,0001209191-19-058101,2019-11-25,M,5000.0,109.14,38416.0,D,,,,,,
875320,2019-11-26,VRTX,ALTSHULER DAVID,,0001209191-19-058097,2019-11-25,S,3910.0,219.37,31553.0,D,,,,,,
875320,2019-11-26,VRTX,ALTSHULER DAVID,,0001209191-19-058097,2019-11-25,M,3910.0,187.53,35463.0,D,,,,,,
875320,2019-11-26,VRTX,Kewalramani Reshma,,0001209191-19-058099,2019-11-25,S,4692.0,219.37,13098.0,D,,,,,,
875320,2019-12-10,VRTX,Sachdev Amit,,0001209191-19-059883,2019-12-09,M,5000.0,109.14,38416.0,D,,,,,,
875320,2019-12-10,VRTX,Sachdev Amit,,0001209191-19-059883,2019-12-09,S,5000.0,225.0,33416.0,D,,,,,,
875320,2020-01-02,VRTX,YOUNG WILLIAM D,,0001209191-20-000298,2019-12-30,S,7402.0,218.05,31909.0,D,,,,,,
875320,2020-01-02,VRTX,YOUNG WILLIAM D,,0001209191-20-000298,2019-12-30,M,30000.0,65.65,39311.0,D,,,,,,
875320,2020-01-06,VRTX,YOUNG WILLIAM D,,0001209191-20-001775,2020-01-02,M,20000.0,72.14,29311.0,D,,,,,,
875320,2020-01-06,VRTX,YOUNG WILLIAM D,,0001209191-20-001775,2020-01-02,S,2500.0,217.72,26811.0,D,,,,,,
875320,2020-01-06,VRTX,Silva Paul M,,0001209191-20-001770,2020-01-02,M,16758.0,109.14,34517.0,D,,,,,,
875320,2020-01-06,VRTX,Silva Paul M,,0001209191-20-001770,2020-01-02,S,2842.0,217.68,40547.0,D,,,,,,
875320,2020-01-08,VRTX,Parini Michael,,0001209191-20-002501,2020-01-06,M,4250.0,122.45,39253.0,D,,,,,,
875320,2020-01-08,VRTX,Parini Michael,,0001209191-20-002501,2020-01-06,S,400.0,218.93,38853.0,D,,,,,,
875320,2020-01-10,VRTX,Tatsis Ourania,,0001209191-20-003055,2020-01-08,M,1675.0,187.53,8927.0,D,,,,,,
875320,2020-01-10,VRTX,Silva Paul M,,0001209191-20-003064,2020-01-08,S,13750.0,231.89,17759.0,D,,,,,,
875320,2020-01-10,VRTX,Tatsis Ourania,,0001209191-20-003055,2020-01-08,S,1675.0,227.53,7252.0,D,,,,,,
875320,2020-01-10,VRTX,Sachdev Amit,,0001209191-20-003079,2020-01-08,S,5000.0,230.0,36190.0,D,,,,,,
875320,2020-01-10,VRTX,Silva Paul M,,0001209191-20-003064,2020-01-08,M,13750.0,131.89,31509.0,D,,,,,,
875320,2020-01-10,VRTX,Sachdev Amit,,0001209191-20-003079,2020-01-08,M,5000.0,109.14,41190.0,D,,,,,,
875320,2020-01-15,VRTX,Silva Paul M,,0001209191-20-003458,2020-01-13,M,860.0,90.29,18619.0,D,,,,,,
875320,2020-01-15,VRTX,Silva Paul M,,0001209191-20-003458,2020-01-13,S,860.0,229.38,17759.0,D,,,,,,
875320,2020-01-15,VRTX,Parini Michael,,0001209191-20-003457,2020-01-13,M,2125.0,90.29,37128.0,D,,,,,,
875320,2020-01-15,VRTX,Parini Michael,,0001209191-20-003457,2020-01-13,S,300.0,225.27,36828.0,D,,,,,,
875320,2020-01-21,VRTX,Sachdev Amit,,0001209191-20-004251,2020-01-16,S,5000.0,235.0,36190.0,D,,,,,,
875320,2020-01-21,VRTX,Sachdev Amit,,0001209191-20-004251,2020-01-16,M,5000.0,109.14,41190.0,D,,,,,,
875320,2020-01-24,VRTX,Parini Michael,,0001209191-20-004809,2020-01-22,M,1.0,187.53,35004.0,D,,,,,,
875320,2020-01-24,VRTX,Parini Michael,,0001209191-20-004809,2020-01-22,S,1.0,237.5,35003.0,D,,,,,,
875320,2020-02-04,VRTX,Silva Paul M,,0001209191-20-006304,2020-01-31,M,1396.0,187.53,19155.0,D,,,,,,
875320,2020-02-04,VRTX,Silva Paul M,,0001209191-20-006304,2020-01-31,S,1396.0,238.65,17759.0,D,,,,,,
875320,2020-02-04,VRTX,SACHS BRUCE I,,0001209191-20-006298,2020-01-31,M,20000.0,53.85,31210.0,D,,,,,,
875320,2020-02-04,VRTX,SACHS BRUCE I,,0001209191-20-006298,2020-01-31,S,1700.0,224.02,29510.0,D,,,,,,
875320,2020-02-04,VRTX,Parini Michael,,0001209191-20-006289,2020-01-31,M,3909.0,187.53,38912.0,D,,,,,,
875320,2020-02-04,VRTX,Parini Michael,,0001209191-20-006289,2020-01-31,S,3909.0,238.65,35003.0,D,,,,,,
875320,2020-02-04,VRTX,Parini Michael,,0001209191-20-006289,2020-01-31,F,1344.0,231.21,33659.0,D,,,,,,
875320,2020-02-04,VRTX,Parini Michael,,0001209191-20-006289,2020-02-03,M,2330.0,86.52,35989.0,D,,,,,,
875320,2020-02-04,VRTX,Parini Michael,,0001209191-20-006289,2020-02-03,S,574.0,229.07,35415.0,D,,,,,,
875320,2020-02-04,VRTX,Lee Yuchun,,0001209191-20-006284,2020-01-31,S,200.0,224.03,4647.0,D,,,,,,
875320,2020-02-04,VRTX,Lee Yuchun,,0001209191-20-006284,2020-02-03,S,423.0,229.39,2424.0,D,,,,,,
875320,2020-02-04,VRTX,Arbuckle Stuart A,,0001209191-20-006279,2020-01-31,M,4692.0,187.53,37932.0,D,,,,,,
875320,2020-02-04,VRTX,Arbuckle Stuart A,,0001209191-20-006279,2020-01-31,S,4692.0,238.65,33240.0,D,,,,,,
875320,2020-02-04,VRTX,Arbuckle Stuart A,,0001209191-20-006279,2020-02-03,M,2156.0,91.05,35396.0,D,,,,,,
875320,2020-02-04,VRTX,Arbuckle Stuart A,,0001209191-20-006279,2020-02-03,S,440.0,228.9,36510.0,D,,,,,,
875320,2020-02-05,VRTX,Sachdev Amit,,0001209191-20-006956,2020-02-03,M,2156.0,91.05,38346.0,D,,,,,,
875320,2020-02-05,VRTX,Silva Paul M,,0001209191-20-006959,2020-02-03,M,1290.0,91.05,19049.0,D,,,,,,
875320,2020-02-05,VRTX,Silva Paul M,,0001209191-20-006959,2020-02-03,S,210.0,228.91,19648.0,D,,,,,,
875320,2020-02-05,VRTX,ALTSHULER DAVID,,0001209191-20-006950,2020-02-03,S,749.0,229.35,34930.0,D,,,,,,
875320,2020-02-05,VRTX,Sachdev Amit,,0001209191-20-006956,2020-02-03,S,500.0,228.89,39787.0,D,,,,,,
875320,2020-02-05,VRTX,ALTSHULER DAVID,,0001209191-20-006950,2020-02-03,M,1796.0,91.05,33349.0,D,,,,,,
875320,2020-02-06,VRTX,Lee Yuchun,,0001209191-20-007151,2020-02-04,M,3028.0,57.27,3875.0,D,,,,,,
875320,2020-02-06,VRTX,Lee Yuchun,,0001209191-20-007151,2020-02-04,S,115.0,235.15,3760.0,D,,,,,,
875320,2020-02-06,VRTX,Lee Yuchun,,0001209191-20-007151,2020-02-05,M,2000.0,57.27,3875.0,D,,,,,,
875320,2020-02-06,VRTX,Lee Yuchun,,0001209191-20-007151,2020-02-05,S,402.0,240.59,3473.0,D,,,,,,
