cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
732712,2016-05-31,VZ,SILLIMAN CRAIG L.,,0001611593-16-000482,2016-05-26,S,672.0,49.8,12542.0,D,non_derivative,Common Stock,,,,
732712,2016-06-06,VZ,Shammo Francis,,0001611593-16-000487,2016-06-02,A,105.138,14.49,1395.771,I,derivative,Phantom Stock (unitized),Common Stock,30.0,,
732712,2016-06-06,VZ,Gurnani Roger,,0001611593-16-000483,2016-06-02,A,69.296,14.49,31806.094,I,derivative,Phantom Stock (unitized),Common Stock,20.0,,
732712,2016-06-06,VZ,McAdam Lowell C,,0001611593-16-000484,2016-06-02,A,212.665,14.49,316421.188,I,derivative,Phantom Stock (unitized),Common Stock,61.0,,
732712,2016-06-06,VZ,REED MARC C,,0001611593-16-000485,2016-06-02,A,85.225,14.49,151663.042,I,derivative,Phantom Stock (unitized),Common Stock,24.0,,
732712,2016-06-06,VZ,Scotti Diego,,0001611593-16-000486,2016-06-02,A,45.4,14.49,6820.695,I,derivative,Phantom Stock (unitized),Common Stock,13.0,,
732712,2016-06-06,VZ,WALDEN MARNI M,,0001611593-16-000491,2016-06-02,A,101.155,14.49,188206.218,I,derivative,Phantom Stock (unitized),Common Stock,29.0,,
732712,2016-06-06,VZ,SILLIMAN CRAIG L.,,0001611593-16-000488,2016-06-02,A,106.732,14.49,60323.47,I,derivative,Phantom Stock (unitized),Common Stock,30.0,,
732712,2016-06-06,VZ,Skiadas Anthony T,,0001611593-16-000489,2016-06-02,A,29.47,14.49,44548.711,I,derivative,Phantom Stock (unitized),Common Stock,8.0,,
732712,2016-06-06,VZ,Stratton John G,,0001611593-16-000490,2016-06-02,A,101.155,14.49,111931.338,I,derivative,Phantom Stock (unitized),Common Stock,29.0,,
732712,2016-06-17,VZ,SILLIMAN CRAIG L.,,0001611593-16-000498,2016-06-16,A,101.398,15.25,60424.868,I,derivative,Phantom Stock (unitized),Common Stock,29.0,,
732712,2016-06-17,VZ,Stratton John G,,0001611593-16-000500,2016-06-16,A,96.1,15.25,112027.438,I,derivative,Phantom Stock (unitized),Common Stock,27.0,,
732712,2016-06-17,VZ,Gurnani Roger,,0001611593-16-000493,2016-06-16,A,65.832,15.25,31871.926,I,derivative,Phantom Stock (unitized),Common Stock,19.0,,
732712,2016-06-17,VZ,Skiadas Anthony T,,0001611593-16-000499,2016-06-16,A,27.997,15.25,44576.708,I,derivative,Phantom Stock (unitized),Common Stock,8.0,,
732712,2016-06-17,VZ,Shammo Francis,,0001611593-16-000497,2016-06-16,A,99.883,15.25,1495.654,I,derivative,Phantom Stock (unitized),Common Stock,28.0,,
732712,2016-06-17,VZ,WALDEN MARNI M,,0001611593-16-000501,2016-06-16,A,96.1,15.25,188302.318,I,derivative,Phantom Stock (unitized),Common Stock,27.0,,
732712,2016-06-17,VZ,Scotti Diego,,0001611593-16-000496,2016-06-16,A,43.131,15.25,6863.826,I,derivative,Phantom Stock (unitized),Common Stock,12.0,,
732712,2016-06-17,VZ,REED MARC C,,0001611593-16-000495,2016-06-16,A,80.966,15.25,151744.008,I,derivative,Phantom Stock (unitized),Common Stock,23.0,,
732712,2016-06-17,VZ,McAdam Lowell C,,0001611593-16-000494,2016-06-16,A,202.037,15.25,316623.225,I,derivative,Phantom Stock (unitized),Common Stock,58.0,,
732712,2016-06-28,VZ,SILLIMAN CRAIG L.,,0001611593-16-000502,2016-06-24,S,672.0,54.56,11870.0,D,non_derivative,Common Stock,,,,
732712,2016-07-05,VZ,Scotti Diego,,0001611593-16-000506,2016-06-30,A,41.304,15.92,6905.13,I,derivative,Phantom Stock (unitized),Common Stock,12.0,,
732712,2016-07-05,VZ,Gurnani Roger,,0001611593-16-000503,2016-06-30,A,63.043,15.92,31934.969,I,derivative,Phantom Stock (unitized),Common Stock,18.0,,
732712,2016-07-05,VZ,McAdam Lowell C,,0001611593-16-000504,2016-06-30,A,193.477,15.92,316816.702,I,derivative,Phantom Stock (unitized),Common Stock,55.0,,
732712,2016-07-05,VZ,Shammo Francis,,0001611593-16-000507,2016-06-30,A,95.652,15.92,1591.306,I,derivative,Phantom Stock (unitized),Common Stock,27.0,,
732712,2016-07-05,VZ,REED MARC C,,0001611593-16-000505,2016-06-30,A,77.536,15.92,151821.544,I,derivative,Phantom Stock (unitized),Common Stock,22.0,,
732712,2016-07-05,VZ,Skiadas Anthony T,,0001611593-16-000509,2016-06-30,A,26.811,15.92,44603.519,I,derivative,Phantom Stock (unitized),Common Stock,8.0,,
732712,2016-07-05,VZ,SILLIMAN CRAIG L.,,0001611593-16-000508,2016-06-30,A,97.102,15.92,60521.97,I,derivative,Phantom Stock (unitized),Common Stock,28.0,,
732712,2016-07-05,VZ,Stratton John G,,0001611593-16-000510,2016-06-30,A,92.028,15.92,112119.466,I,derivative,Phantom Stock (unitized),Common Stock,26.0,,
732712,2016-07-05,VZ,WALDEN MARNI M,,0001611593-16-000511,2016-06-30,A,92.028,15.92,188394.346,I,derivative,Phantom Stock (unitized),Common Stock,26.0,,
732712,2016-07-18,VZ,Stratton John G,,0001611593-16-000519,2016-07-14,A,92.031,15.92,112211.497,I,derivative,Phantom Stock (unitized),Common Stock,26.0,,
732712,2016-07-18,VZ,Scotti Diego,,0001611593-16-000515,2016-07-14,A,41.305,15.92,6946.435,I,derivative,Phantom Stock (unitized),Common Stock,12.0,,
732712,2016-07-18,VZ,REED MARC C,,0001611593-16-000514,2016-07-14,A,77.538,15.92,151899.082,I,derivative,Phantom Stock (unitized),Common Stock,22.0,,
732712,2016-07-18,VZ,Skiadas Anthony T,,0001611593-16-000518,2016-07-14,A,26.812,15.92,44630.331,I,derivative,Phantom Stock (unitized),Common Stock,8.0,,
732712,2016-07-18,VZ,Gurnani Roger,,0001611593-16-000512,2016-07-14,A,63.045,15.92,31998.014,I,derivative,Phantom Stock (unitized),Common Stock,18.0,,
732712,2016-07-18,VZ,WALDEN MARNI M,,0001611593-16-000520,2016-07-14,A,92.031,15.92,188486.377,I,derivative,Phantom Stock (unitized),Common Stock,26.0,,
732712,2016-07-18,VZ,SILLIMAN CRAIG L.,,0001611593-16-000517,2016-07-14,A,97.104,15.92,60619.074,I,derivative,Phantom Stock (unitized),Common Stock,28.0,,
732712,2016-07-18,VZ,Shammo Francis,,0001611593-16-000516,2016-07-14,A,95.654,15.92,1686.96,I,derivative,Phantom Stock (unitized),Common Stock,27.0,,
732712,2016-07-18,VZ,McAdam Lowell C,,0001611593-16-000513,2016-07-14,A,193.482,15.92,317010.184,I,derivative,Phantom Stock (unitized),Common Stock,55.0,,
732712,2016-07-29,VZ,SILLIMAN CRAIG L.,,0001611593-16-000521,2016-07-27,S,672.0,54.81,11198.0,D,non_derivative,Common Stock,,,,
732712,2016-08-01,VZ,McAdam Lowell C,,0001611593-16-000523,2016-07-28,A,196.933,15.64,317207.117,I,derivative,Phantom Stock (unitized),Common Stock,56.0,,
732712,2016-08-01,VZ,Skiadas Anthony T,,0001611593-16-000528,2016-07-28,A,27.29,15.64,44657.621,I,derivative,Phantom Stock (unitized),Common Stock,8.0,,
732712,2016-08-01,VZ,REED MARC C,,0001611593-16-000524,2016-07-28,A,78.921,15.64,151978.003,I,derivative,Phantom Stock (unitized),Common Stock,23.0,,
732712,2016-08-01,VZ,Shammo Francis,,0001611593-16-000526,2016-07-28,I,1784.32,15.64,0.0,I,derivative,Phantom Stock (unitized),Common Stock,509.0,,
732712,2016-08-01,VZ,SILLIMAN CRAIG L.,,0001611593-16-000527,2016-07-28,A,98.836,15.64,60717.91,I,derivative,Phantom Stock (unitized),Common Stock,28.0,,
732712,2016-08-01,VZ,Stratton John G,,0001611593-16-000529,2016-07-28,A,93.672,15.64,112305.169,I,derivative,Phantom Stock (unitized),Common Stock,27.0,,
732712,2016-08-01,VZ,Shammo Francis,,0001611593-16-000526,2016-07-28,A,97.36,15.64,1784.32,I,derivative,Phantom Stock (unitized),Common Stock,28.0,,
732712,2016-08-01,VZ,WALDEN MARNI M,,0001611593-16-000530,2016-07-28,A,93.672,15.64,188580.049,I,derivative,Phantom Stock (unitized),Common Stock,27.0,,
732712,2016-08-01,VZ,Shammo Francis,,0001611593-16-000526,2016-07-29,I,88.0,55.41,0.0,I,non_derivative,Common Stock,,,,
732712,2016-08-01,VZ,Gurnani Roger,,0001611593-16-000522,2016-07-28,A,64.169,15.64,32062.183,I,derivative,Phantom Stock (unitized),Common Stock,18.0,,
732712,2016-08-01,VZ,Scotti Diego,,0001611593-16-000525,2016-07-28,A,42.042,15.64,6988.477,I,derivative,Phantom Stock (unitized),Common Stock,12.0,,
732712,2016-08-15,VZ,Shammo Francis,,0001611593-16-000535,2016-08-11,A,99.166,15.36,115.539,I,derivative,Phantom Stock (unitized),Common Stock,28.0,,
732712,2016-08-15,VZ,Stratton John G,,0001611593-16-000538,2016-08-11,A,95.409,15.36,113554.158,I,derivative,Phantom Stock (unitized),Common Stock,27.0,,
732712,2016-08-15,VZ,Scotti Diego,,0001611593-16-000534,2016-08-11,A,42.821,15.36,7102.344,I,derivative,Phantom Stock (unitized),Common Stock,12.0,,
732712,2016-08-15,VZ,Gurnani Roger,,0001611593-16-000531,2016-08-11,A,65.359,15.36,32456.115,I,derivative,Phantom Stock (unitized),Common Stock,19.0,,
732712,2016-08-15,VZ,WALDEN MARNI M,,0001611593-16-000539,2016-08-11,A,95.409,15.36,190613.819,I,derivative,Phantom Stock (unitized),Common Stock,27.0,,
732712,2016-08-15,VZ,Skiadas Anthony T,,0001611593-16-000537,2016-08-11,A,27.796,15.36,45144.336,I,derivative,Phantom Stock (unitized),Common Stock,8.0,,
732712,2016-08-15,VZ,REED MARC C,,0001611593-16-000533,2016-08-11,A,80.384,15.36,153620.456,I,derivative,Phantom Stock (unitized),Common Stock,23.0,,
732712,2016-08-15,VZ,SILLIMAN CRAIG L.,,0001611593-16-000536,2016-08-11,A,100.668,15.36,61441.28,I,derivative,Phantom Stock (unitized),Common Stock,28.0,,
732712,2016-08-15,VZ,McAdam Lowell C,,0001611593-16-000532,2016-08-11,A,200.584,15.36,320667.38,I,derivative,Phantom Stock (unitized),Common Stock,57.0,,
732712,2016-08-29,VZ,WALDEN MARNI M,,0001611593-16-000548,2016-08-25,A,97.401,15.04,190711.22,I,derivative,Phantom Stock (unitized),Common Stock,28.0,,
732712,2016-08-29,VZ,McAdam Lowell C,,0001611593-16-000541,2016-08-25,A,204.773,15.04,320872.153,I,derivative,Phantom Stock (unitized),Common Stock,58.0,,
732712,2016-08-29,VZ,Scotti Diego,,0001611593-16-000543,2016-08-25,A,43.715,15.04,7146.059,I,derivative,Phantom Stock (unitized),Common Stock,12.0,,
732712,2016-08-29,VZ,Shammo Francis,,0001611593-16-000544,2016-08-25,A,101.236,15.04,216.775,I,derivative,Phantom Stock (unitized),Common Stock,29.0,,
732712,2016-08-29,VZ,REED MARC C,,0001611593-16-000542,2016-08-25,A,82.063,15.04,153702.519,I,derivative,Phantom Stock (unitized),Common Stock,23.0,,
732712,2016-08-29,VZ,Skiadas Anthony T,,0001611593-16-000546,2016-08-25,A,28.377,15.04,45172.713,I,derivative,Phantom Stock (unitized),Common Stock,8.0,,
732712,2016-08-29,VZ,Stratton John G,,0001611593-16-000547,2016-08-25,A,97.401,15.04,113651.559,I,derivative,Phantom Stock (unitized),Common Stock,28.0,,
732712,2016-08-29,VZ,Gurnani Roger,,0001611593-16-000540,2016-08-25,A,66.724,15.04,32522.839,I,derivative,Phantom Stock (unitized),Common Stock,19.0,,
732712,2016-08-29,VZ,SILLIMAN CRAIG L.,,0001611593-16-000545,2016-08-25,A,102.77,15.04,61544.05,I,derivative,Phantom Stock (unitized),Common Stock,30.0,,
732712,2016-08-30,VZ,SILLIMAN CRAIG L.,,0001611593-16-000549,2016-08-26,S,672.0,52.76,10526.0,D,non_derivative,Common Stock,,,,
732712,2016-09-01,VZ,REED MARC C,,0001611593-16-000550,2016-08-31,I,95211.0,14.93,58491.173,I,derivative,Phantom Stock (unitized),Common Stock,27157.0,,
732712,2016-09-01,VZ,REED MARC C,,0001611593-16-000550,2016-08-31,I,1237.0,52.33,0.0,I,derivative,Phantom Stock,Common Stock,1237.0,,
732712,2016-09-06,VZ,Skiadas Anthony T,,0001611593-16-000551,2016-09-01,A,38052.0,0.0,38052.0,D,derivative,Special Restricted Stock Units - 2016-2019 Award Cycle,Common Stock,38052.0,,
732712,2016-09-12,VZ,Shammo Francis,,0001611593-16-000556,2016-09-08,A,99.64,15.29,316.415,I,derivative,Phantom Stock (unitized),Common Stock,28.0,,
732712,2016-09-12,VZ,WALDEN MARNI M,,0001611593-16-000560,2016-09-08,A,95.865,15.29,190807.085,I,derivative,Phantom Stock (unitized),Common Stock,27.0,,
732712,2016-09-12,VZ,Scotti Diego,,0001611593-16-000555,2016-09-08,A,43.026,15.29,7189.085,I,derivative,Phantom Stock (unitized),Common Stock,12.0,,
732712,2016-09-12,VZ,McAdam Lowell C,,0001611593-16-000553,2016-09-09,F,253620.0,51.82,591713.0,D,non_derivative,Common Stock,,,,
732712,2016-09-12,VZ,Skiadas Anthony T,,0001611593-16-000558,2016-09-08,A,27.929,15.29,45200.642,I,derivative,Phantom Stock (unitized),Common Stock,8.0,,
732712,2016-09-12,VZ,McAdam Lowell C,,0001611593-16-000553,2016-09-09,M,489141.0,,845333.0,D,non_derivative,Common Stock,,,,
732712,2016-09-12,VZ,Stratton John G,,0001611593-16-000559,2016-09-08,A,95.865,15.29,113747.424,I,derivative,Phantom Stock (unitized),Common Stock,27.0,,
732712,2016-09-12,VZ,McAdam Lowell C,,0001611593-16-000553,2016-09-09,M,104816.0,,0.0,D,derivative,Restricted Stock Units - 2011-2016 Award Cycle,Common Stock,104816.0,,2016-09-09
732712,2016-09-12,VZ,SILLIMAN CRAIG L.,,0001611593-16-000557,2016-09-08,A,101.15,15.29,61645.2,I,derivative,Phantom Stock (unitized),Common Stock,28.0,,
732712,2016-09-12,VZ,REED MARC C,,0001611593-16-000554,2016-09-08,A,80.769,15.29,58571.942,I,derivative,Phantom Stock (unitized),Common Stock,23.0,,
732712,2016-09-12,VZ,McAdam Lowell C,,0001611593-16-000553,2016-09-08,A,201.544,15.29,321073.697,I,derivative,Phantom Stock (unitized),Common Stock,57.0,,
732712,2016-09-12,VZ,McAdam Lowell C,,0001611593-16-000553,2016-09-09,M,489141.0,,0.0,D,derivative,Performance Stock Units - 2011-2016 Award Cycle,Common Stock,489141.0,,2016-09-09
732712,2016-09-12,VZ,Gurnani Roger,,0001611593-16-000552,2016-09-08,A,65.672,15.29,32588.511,I,derivative,Phantom Stock (unitized),Common Stock,19.0,,
732712,2016-09-26,VZ,Scotti Diego,,0001611593-16-000564,2016-09-22,A,44.042,14.93,7233.127,I,derivative,Phantom Stock (unitized),Common Stock,13.0,,
732712,2016-09-26,VZ,REED MARC C,,0001611593-16-000563,2016-09-22,A,82.677,14.93,58654.619,I,derivative,Phantom Stock (unitized),Common Stock,24.0,,
732712,2016-09-26,VZ,Skiadas Anthony T,,0001611593-16-000567,2016-09-22,A,28.589,14.93,45229.231,I,derivative,Phantom Stock (unitized),Common Stock,8.0,,
732712,2016-09-26,VZ,WALDEN MARNI M,,0001611593-16-000569,2016-09-22,A,98.13,14.93,190905.215,I,derivative,Phantom Stock (unitized),Common Stock,28.0,,
732712,2016-09-26,VZ,Gurnani Roger,,0001611593-16-000561,2016-09-22,A,67.233,14.93,32655.734,I,derivative,Phantom Stock (unitized),Common Stock,19.0,,
732712,2016-09-26,VZ,McAdam Lowell C,,0001611593-16-000562,2016-09-22,A,206.305,14.93,321280.002,I,derivative,Phantom Stock (unitized),Common Stock,59.0,,
732712,2016-09-26,VZ,Shammo Francis,,0001611593-16-000565,2016-09-22,A,101.994,14.93,418.409,I,derivative,Phantom Stock (unitized),Common Stock,29.0,,
732712,2016-09-26,VZ,Stratton John G,,0001611593-16-000568,2016-09-22,A,98.13,14.93,113845.554,I,derivative,Phantom Stock (unitized),Common Stock,28.0,,
732712,2016-09-26,VZ,SILLIMAN CRAIG L.,,0001611593-16-000566,2016-09-22,A,103.54,14.93,61748.74,I,derivative,Phantom Stock (unitized),Common Stock,30.0,,
732712,2016-09-28,VZ,SILLIMAN CRAIG L.,,0001611593-16-000570,2016-09-26,S,672.0,52.4,9854.0,D,non_derivative,Common Stock,,,,
732712,2016-10-11,VZ,Skiadas Anthony T,,0001611593-16-000577,2016-10-06,A,29.769,14.34,45259.0,I,derivative,Phantom Stock (unitized),Common Stock,8.0,,
732712,2016-10-11,VZ,Stratton John G,,0001611593-16-000578,2016-10-06,A,102.181,14.34,113947.735,I,derivative,Phantom Stock (unitized),Common Stock,29.0,,
732712,2016-10-11,VZ,WALDEN MARNI M,,0001611593-16-000579,2016-10-06,A,102.181,14.34,191007.396,I,derivative,Phantom Stock (unitized),Common Stock,29.0,,
732712,2016-10-11,VZ,SILLIMAN CRAIG L.,,0001611593-16-000576,2016-10-06,A,107.814,14.34,61856.554,I,derivative,Phantom Stock (unitized),Common Stock,30.0,,
732712,2016-10-11,VZ,REED MARC C,,0001611593-16-000573,2016-10-06,A,86.09,14.34,58740.709,I,derivative,Phantom Stock (unitized),Common Stock,25.0,,
732712,2016-10-11,VZ,McAdam Lowell C,,0001611593-16-000572,2016-10-06,A,214.823,14.34,321494.825,I,derivative,Phantom Stock (unitized),Common Stock,61.0,,
732712,2016-10-11,VZ,Scotti Diego,,0001611593-16-000574,2016-10-06,A,45.861,14.34,7278.988,I,derivative,Phantom Stock (unitized),Common Stock,13.0,,
732712,2016-10-11,VZ,Shammo Francis,,0001611593-16-000575,2016-10-06,A,106.205,14.34,524.614,I,derivative,Phantom Stock (unitized),Common Stock,30.0,,
732712,2016-10-24,VZ,WALDEN MARNI M,,0001611593-16-000588,2016-10-20,A,104.495,14.02,191111.891,I,derivative,Phantom Stock (unitized),Common Stock,30.0,,
732712,2016-10-24,VZ,Stratton John G,,0001611593-16-000587,2016-10-20,A,104.495,14.02,114052.23,I,derivative,Phantom Stock (unitized),Common Stock,30.0,,
732712,2016-10-24,VZ,SILLIMAN CRAIG L.,,0001611593-16-000585,2016-10-20,A,110.256,14.02,61966.81,I,derivative,Phantom Stock (unitized),Common Stock,32.0,,
732712,2016-10-24,VZ,Skiadas Anthony T,,0001611593-16-000586,2016-10-20,A,30.443,14.02,45289.443,I,derivative,Phantom Stock (unitized),Common Stock,9.0,,
732712,2016-10-24,VZ,REED MARC C,,0001611593-16-000582,2016-10-20,A,88.04,14.02,58828.749,I,derivative,Phantom Stock (unitized),Common Stock,25.0,,
732712,2016-10-24,VZ,McAdam Lowell C,,0001611593-16-000581,2016-10-20,A,219.688,14.02,321714.513,I,derivative,Phantom Stock (unitized),Common Stock,63.0,,
732712,2016-10-24,VZ,Gurnani Roger,,0001611593-16-000580,2016-10-20,A,71.584,14.02,32797.317,I,derivative,Phantom Stock (unitized),Common Stock,20.0,,
732712,2016-10-24,VZ,Scotti Diego,,0001611593-16-000583,2016-10-20,A,46.899,14.02,7325.887,I,derivative,Phantom Stock (unitized),Common Stock,13.0,,
732712,2016-10-28,VZ,SILLIMAN CRAIG L.,,0001611593-16-000590,2016-10-26,S,672.0,47.76,9182.0,D,non_derivative,Common Stock,,,,
732712,2016-11-02,VZ,Ellis Matthew D.,,0001611593-16-000592,2016-11-01,A,3008.0,0.0,13784.0,D,derivative,Restricted Stock Units - 2016-2018 Award Cycle,Common Stock,3008.0,,
732712,2016-11-07,VZ,WALDEN MARNI M,,0001611593-16-000602,2016-11-03,A,109.53,13.38,193516.18,I,derivative,Phantom Stock (unitized),Common Stock,31.0,,
732712,2016-11-07,VZ,Stratton John G,,0001611593-16-000601,2016-11-03,A,109.53,13.38,115530.23,I,derivative,Phantom Stock (unitized),Common Stock,31.0,,
732712,2016-11-07,VZ,Skiadas Anthony T,,0001611593-16-000600,2016-11-03,A,31.91,13.38,45865.026,I,derivative,Phantom Stock (unitized),Common Stock,9.0,,
732712,2016-11-07,VZ,SILLIMAN CRAIG L.,,0001611593-16-000599,2016-11-03,A,115.568,13.38,62824.622,I,derivative,Phantom Stock (unitized),Common Stock,32.0,,
732712,2016-11-07,VZ,Scotti Diego,,0001611593-16-000598,2016-11-03,A,49.159,13.38,7461.991,I,derivative,Phantom Stock (unitized),Common Stock,14.0,,
732712,2016-11-07,VZ,McAdam Lowell C,,0001611593-16-000596,2016-11-03,A,230.273,13.38,325806.702,I,derivative,Phantom Stock (unitized),Common Stock,66.0,,
732712,2016-11-07,VZ,REED MARC C,,0001611593-16-000597,2016-11-03,A,92.282,13.38,59626.084,I,derivative,Phantom Stock (unitized),Common Stock,26.0,,
732712,2016-11-07,VZ,Gurnani Roger,,0001611593-16-000595,2016-11-03,A,75.033,13.38,33264.885,I,derivative,Phantom Stock (unitized),Common Stock,21.0,,
732712,2016-11-07,VZ,Ellis Matthew D.,,0001611593-16-000594,2016-11-03,A,49.159,13.38,7964.593,I,derivative,Phantom Stock (unitized),Common Stock,14.0,,
732712,2016-11-21,VZ,WALDEN MARNI M,,0001611593-16-000611,2016-11-17,A,107.326,13.65,193623.506,I,derivative,Phantom Stock (unitized),Common Stock,31.0,,
732712,2016-11-21,VZ,Gurnani Roger,,0001611593-16-000604,2016-11-17,A,73.523,13.65,33338.408,I,derivative,Phantom Stock (unitized),Common Stock,21.0,,
732712,2016-11-21,VZ,REED MARC C,,0001611593-16-000606,2016-11-17,A,90.425,13.65,59716.509,I,derivative,Phantom Stock (unitized),Common Stock,26.0,,
732712,2016-11-21,VZ,Ellis Matthew D.,,0001611593-16-000603,2016-11-17,A,73.523,13.65,8038.116,I,derivative,Phantom Stock (unitized),Common Stock,21.0,,
732712,2016-11-21,VZ,Scotti Diego,,0001611593-16-000607,2016-11-17,A,48.17,13.65,7510.161,I,derivative,Phantom Stock (unitized),Common Stock,14.0,,
732712,2016-11-21,VZ,McAdam Lowell C,,0001611593-16-000605,2016-11-17,A,225.64,13.65,326032.342,I,derivative,Phantom Stock (unitized),Common Stock,64.0,,
732712,2016-11-21,VZ,Skiadas Anthony T,,0001611593-16-000609,2016-11-17,A,31.268,13.65,45896.294,I,derivative,Phantom Stock (unitized),Common Stock,9.0,,
732712,2016-11-21,VZ,Stratton John G,,0001611593-16-000610,2016-11-17,A,107.326,13.65,115637.556,I,derivative,Phantom Stock (unitized),Common Stock,31.0,,
732712,2016-11-21,VZ,SILLIMAN CRAIG L.,,0001611593-16-000608,2016-11-17,A,113.242,13.65,62937.864,I,derivative,Phantom Stock (unitized),Common Stock,32.0,,
732712,2016-11-28,VZ,SILLIMAN CRAIG L.,,0001611593-16-000612,2016-11-22,S,668.0,49.29,5379.0,D,non_derivative,Common Stock,,,,
732712,2016-11-28,VZ,SILLIMAN CRAIG L.,,0001611593-16-000612,2016-11-21,G,3135.0,0.0,6047.0,D,non_derivative,Common Stock,,,,
732712,2016-12-05,VZ,Ellis Matthew D.,,0001611593-16-000613,2016-12-01,A,70.551,14.23,8108.667,I,derivative,Phantom Stock (unitized),Common Stock,20.0,,
732712,2016-12-05,VZ,McAdam Lowell C,,0001611593-16-000615,2016-12-01,A,216.517,14.23,326248.859,I,derivative,Phantom Stock (unitized),Common Stock,62.0,,
732712,2016-12-05,VZ,REED MARC C,,0001611593-16-000616,2016-12-01,A,86.769,14.23,59803.278,I,derivative,Phantom Stock (unitized),Common Stock,25.0,,
732712,2016-12-05,VZ,Scotti Diego,,0001611593-16-000617,2016-12-01,A,46.222,14.23,7556.383,I,derivative,Phantom Stock (unitized),Common Stock,13.0,,
732712,2016-12-05,VZ,Gurnani Roger,,0001611593-16-000614,2016-12-01,A,70.551,14.23,33408.959,I,derivative,Phantom Stock (unitized),Common Stock,20.0,,
732712,2016-12-05,VZ,Skiadas Anthony T,,0001611593-16-000619,2016-12-01,A,30.004,14.23,45926.298,I,derivative,Phantom Stock (unitized),Common Stock,9.0,,
732712,2016-12-05,VZ,Stratton John G,,0001611593-16-000620,2016-12-01,A,102.987,14.23,115740.543,I,derivative,Phantom Stock (unitized),Common Stock,29.0,,
732712,2016-12-05,VZ,WALDEN MARNI M,,0001611593-16-000621,2016-12-01,A,102.987,14.23,193726.493,I,derivative,Phantom Stock (unitized),Common Stock,29.0,,
732712,2016-12-05,VZ,SILLIMAN CRAIG L.,,0001611593-16-000618,2016-12-01,A,108.664,14.23,63046.528,I,derivative,Phantom Stock (unitized),Common Stock,32.0,,
732712,2016-12-14,VZ,WALDEN MARNI M,,0001611593-16-000622,2016-12-12,F,34735.0,51.76,44050.0,D,non_derivative,Common Stock,,,,
732712,2016-12-14,VZ,WALDEN MARNI M,,0001611593-16-000622,2016-12-12,M,66990.0,,0.0,D,derivative,Chairman's Restricted Stock Units - 2012-16 Award Cycle,Common Stock,66990.0,,2016-12-12
732712,2016-12-14,VZ,WALDEN MARNI M,,0001611593-16-000622,2016-12-12,M,66990.0,,78785.0,D,non_derivative,Common Stock,,,,
732712,2016-12-19,VZ,Gurnani Roger,,0001611593-16-000624,2016-12-15,A,67.923,14.78,33476.882,I,derivative,Phantom Stock (unitized),Common Stock,19.0,,
732712,2016-12-19,VZ,McAdam Lowell C,,0001611593-16-000625,2016-12-15,A,208.453,14.78,326457.312,I,derivative,Phantom Stock (unitized),Common Stock,59.0,,
732712,2016-12-19,VZ,REED MARC C,,0001611593-16-000626,2016-12-15,A,83.538,14.78,59886.816,I,derivative,Phantom Stock (unitized),Common Stock,24.0,,
732712,2016-12-19,VZ,Scotti Diego,,0001611593-16-000627,2016-12-15,A,44.501,14.78,7600.884,I,derivative,Phantom Stock (unitized),Common Stock,13.0,,
732712,2016-12-19,VZ,Stratton John G,,0001611593-16-000630,2016-12-15,A,99.152,14.78,115839.695,I,derivative,Phantom Stock (unitized),Common Stock,28.0,,
732712,2016-12-19,VZ,Skiadas Anthony T,,0001611593-16-000629,2016-12-15,A,28.887,14.78,45955.185,I,derivative,Phantom Stock (unitized),Common Stock,8.0,,
732712,2016-12-19,VZ,WALDEN MARNI M,,0001611593-16-000631,2016-12-15,A,99.152,14.78,193825.645,I,derivative,Phantom Stock (unitized),Common Stock,28.0,,
732712,2016-12-19,VZ,SILLIMAN CRAIG L.,,0001611593-16-000628,2016-12-15,A,104.618,14.78,63151.146,I,derivative,Phantom Stock (unitized),Common Stock,30.0,,
732712,2017-01-03,VZ,SILLIMAN CRAIG L.,,0001611593-17-000005,2016-12-29,A,100.886,15.33,63252.032,I,derivative,Phantom Stock (unitized),Common Stock,28.0,,
732712,2017-01-03,VZ,McAdam Lowell C,,0001611593-17-000009,2016-12-29,A,201.02,15.33,326658.332,I,derivative,Phantom Stock (unitized),Common Stock,57.0,,
732712,2017-01-03,VZ,Stratton John G,,0001611593-17-000007,2016-12-29,A,95.616,15.33,115935.311,I,derivative,Phantom Stock (unitized),Common Stock,27.0,,
732712,2017-01-03,VZ,Skiadas Anthony T,,0001611593-17-000006,2016-12-29,A,27.857,15.33,45983.042,I,derivative,Phantom Stock (unitized),Common Stock,8.0,,
732712,2017-01-03,VZ,McAdam Lowell C,,0001611593-17-000009,2016-12-16,G,325.0,0.0,641856.0,D,non_derivative,Common Stock,,,,
732712,2017-01-03,VZ,WALDEN MARNI M,,0001611593-17-000008,2016-12-29,A,95.616,15.33,193921.261,I,derivative,Phantom Stock (unitized),Common Stock,27.0,,
732712,2017-01-03,VZ,Scotti Diego,,0001611593-17-000004,2016-12-29,A,42.914,15.33,7643.798,I,derivative,Phantom Stock (unitized),Common Stock,12.0,,
