cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
860730,2017-05-15,HCA,Morgan Sandra L.,,0001209191-17-032479,2017-05-11,M,10200.0,37.18,12619.8654,D,,,,,,
860730,2017-05-15,HCA,Morgan Sandra L.,,0001209191-17-032479,2017-05-11,F,14435.0,85.29,8334.8654,D,,,,,,
860730,2017-05-15,HCA,Davis Jana Joustra,,0001209191-17-032475,2017-05-11,S,8302.0,85.02,36589.0,D,,,,,,
860730,2017-05-17,HCA,Cuffe Michael S.,,0001209191-17-033410,2017-05-15,M,2150.0,17.33,12253.5974,D,,,,,,
860730,2017-05-17,HCA,Cuffe Michael S.,,0001209191-17-033410,2017-05-15,S,2150.0,84.52,10103.5974,D,,,,,,
860730,2017-05-19,HCA,Torres Kathryn A.,,0001209191-17-033942,2017-05-17,S,1729.0,82.214,556.0,D,,,,,,
860730,2017-05-19,HCA,Morgan Sandra L.,,0001209191-17-033940,2017-05-17,S,5915.0,82.7378,2419.8654,D,,,,,,
860730,2017-05-25,HCA,Davis Jana Joustra,,0001209191-17-035514,2017-05-23,M,48750.0,37.18,107892.0,D,,,,,,
860730,2017-05-25,HCA,Davis Jana Joustra,,0001209191-17-035514,2017-05-23,F,59902.0,81.93,81427.0,D,,,,,,
860730,2017-05-25,HCA,Davis Jana Joustra,,0001209191-17-035514,2017-05-23,S,54689.0,82.3507,26378.0,D,,,,,,
860730,2017-06-19,HCA,Cuffe Michael S.,,0001209191-17-040886,2017-06-15,M,2150.0,17.33,12362.555,D,,,,,,
860730,2017-06-19,HCA,Cuffe Michael S.,,0001209191-17-040886,2017-06-15,S,2150.0,84.86,10212.555,D,,,,,,
860730,2017-06-26,HCA,Perlin Jonathan B,,0001209191-17-041861,2017-06-22,S,71063.0,86.0,14911.6115,D,,,,,,
860730,2017-06-26,HCA,Perlin Jonathan B,,0001209191-17-041861,2017-06-22,M,26854.0,5.7847,41765.6115,D,,,,,,
860730,2017-07-19,HCA,Cuffe Michael S.,,0001209191-17-045742,2017-07-17,M,2150.0,17.33,12362.555,D,,,,,,
860730,2017-07-19,HCA,Cuffe Michael S.,,0001209191-17-045742,2017-07-17,S,2150.0,86.44,10212.555,D,,,,,,
860730,2017-08-15,HCA,Perlin Jonathan B,,0001209191-17-049034,2017-08-11,M,71045.0,13.5339,85956.6115,D,,,,,,
860730,2017-08-15,HCA,Perlin Jonathan B,,0001209191-17-049034,2017-08-11,F,36838.0,79.37,49118.6115,D,,,,,,
860730,2017-08-17,HCA,Cuffe Michael S.,,0001209191-17-049475,2017-08-15,M,2150.0,17.33,12362.555,D,,,,,,
860730,2017-08-17,HCA,Cuffe Michael S.,,0001209191-17-049475,2017-08-15,S,2150.0,79.88,10212.555,D,,,,,,
860730,2017-09-19,HCA,Cuffe Michael S.,,0001209191-17-053357,2017-09-15,M,2150.0,17.33,12476.0062,D,,,,,,
860730,2017-09-19,HCA,Cuffe Michael S.,,0001209191-17-053357,2017-09-15,S,2150.0,79.87,10326.0062,D,,,,,,
860730,2017-10-19,HCA,Cuffe Michael S.,,0001209191-17-057526,2017-10-17,M,2150.0,17.33,12476.0062,D,,,,,,
860730,2017-10-19,HCA,Cuffe Michael S.,,0001209191-17-057526,2017-10-17,S,2150.0,78.0,10326.0062,D,,,,,,
860730,2017-11-13,HCA,CAMPBELL VICTOR L,,0001209191-17-060414,2017-11-08,S,8000.0,78.0019,34478.0,I,,,,,,
860730,2017-11-20,HCA,CAMPBELL VICTOR L,,0001209191-17-061862,2017-11-16,S,8000.0,75.8174,26478.0,I,,,,,,
860730,2017-11-27,HCA,Cuffe Michael S.,,0001209191-17-062630,2017-11-22,S,2150.0,78.0,10326.0062,D,,,,,,
860730,2017-11-27,HCA,Cuffe Michael S.,,0001209191-17-062630,2017-11-22,M,2150.0,17.33,12476.0062,D,,,,,,
860730,2017-12-19,HCA,Cuffe Michael S.,,0001209191-17-066518,2017-12-15,M,2400.0,17.33,12773.4951,D,,,,,,
860730,2017-12-19,HCA,Cuffe Michael S.,,0001209191-17-066518,2017-12-15,S,2400.0,86.63,10373.4951,D,,,,,,
860730,2017-12-20,HCA,CAMPBELL VICTOR L,,0001209191-17-066675,2017-12-18,M,5600.0,5.9821,132875.0,D,,,,,,
860730,2018-01-30,HCA,Sowell Joseph A III,,0001209191-18-006100,2018-01-26,M,35150.0,7.7,40536.0,D,,,,,,
860730,2018-01-30,HCA,Sowell Joseph A III,,0001209191-18-006100,2018-01-26,S,58175.0,95.0,5386.0,D,,,,,,
860730,2018-02-01,HCA,Sowell Joseph A III,,0001209191-18-006619,2018-01-30,S,22025.0,101.86,69732.0,D,,,,,,
860730,2018-02-01,HCA,Sowell Joseph A III,,0001209191-18-006619,2018-01-30,F,32751.0,101.45,36981.0,D,,,,,,
860730,2018-02-01,HCA,Sowell Joseph A III,,0001209191-18-006619,2018-01-30,M,22025.0,13.2542,27411.0,D,,,,,,
860730,2018-02-02,HCA,MOORE A BRUCE JR,,0001209191-18-007233,2018-01-31,M,27030.0,5.9821,115756.0,D,,,,,,
860730,2018-02-02,HCA,JOHNSON R MILTON,,0001209191-18-007231,2018-02-01,F,543348.0,102.24,950378.0,D,,,,,,
860730,2018-02-02,HCA,JOHNSON R MILTON,,0001209191-18-007231,2018-02-01,M,213365.0,13.2075,640300.0,D,,,,,,
860730,2018-02-02,HCA,JOHNSON R MILTON,,0001209191-18-007231,2017-08-09,G,21795.0,0.0,426935.0,D,,,,,,
860730,2018-02-02,HCA,MICHELSON MICHAEL W,,0001209191-18-007232,2018-01-31,A,473.0,0.0,473.0,D,,,,,,
860730,2018-02-02,HCA,MOORE A BRUCE JR,,0001209191-18-007233,2018-01-31,S,66845.0,101.0457,116486.0,D,,,,,,
860730,2018-02-02,HCA,Morgan Sandra L.,,0001209191-18-007234,2018-01-31,M,5500.0,68.96,7919.8654,D,,,,,,
860730,2018-02-02,HCA,HAZEN SAMUEL N,,0001209191-18-007226,2018-01-31,F,188219.0,101.16,285600.0,D,,,,,,
860730,2018-02-02,HCA,Foster Jon M,,0001209191-18-007224,2018-01-31,F,30407.0,101.16,32239.0,D,,,,,,
860730,2018-02-02,HCA,Chari Ravi S.,,0001209191-18-007219,2018-01-31,M,3825.0,37.18,5182.0531,D,,,,,,
860730,2018-02-02,HCA,Foster Jon M,,0001209191-18-007224,2018-01-31,M,60000.0,22.95,62646.0,D,,,,,,
860730,2018-02-02,HCA,Englebright Jane D.,,0001209191-18-007223,2017-11-17,G,1150.0,0.0,7482.0,D,,,,,,
860730,2018-02-02,HCA,Chari Ravi S.,,0001209191-18-007219,2018-01-31,F,9937.0,101.16,6270.0531,D,,,,,,
860730,2018-02-02,HCA,Chari Ravi S.,,0001209191-18-007219,2018-02-02,S,5702.0,102.009,0.0,D,,,,,,
860730,2018-02-02,HCA,Chari Ravi S.,,0001209191-18-007219,2018-02-01,S,568.0531,103.08,5702.0,D,,,,,,
860730,2018-02-02,HCA,Hall Charles J,,0001209191-18-007225,2018-02-01,F,33744.0,102.24,77493.0,D,,,,,,
860730,2018-02-02,HCA,Hall Charles J,,0001209191-18-007225,2018-02-01,M,102629.0,22.6415,111237.0,D,,,,,,
860730,2018-02-02,HCA,Hall Charles J,,0001209191-18-007225,2018-02-01,S,35949.0,103.0948,41544.0,D,,,,,,
860730,2018-02-02,HCA,HAZEN SAMUEL N,,0001209191-18-007226,2018-01-31,S,56000.0,100.4676,229600.0,D,,,,,,
860730,2018-02-02,HCA,Morgan Sandra L.,,0001209191-18-007234,2018-01-31,F,8135.0,101.16,4909.8654,D,,,,,,
860730,2018-02-02,HCA,HAZEN SAMUEL N,,0001209191-18-007226,2018-01-31,M,84464.0,13.2075,136017.0,D,,,,,,
860730,2018-02-02,HCA,Morrow J William,,0001209191-18-007235,2017-08-02,G,26.0,0.0,4355.5358,D,,,,,,
860730,2018-02-02,HCA,Torres Kathryn A.,,0001209191-18-007258,2018-01-31,F,5871.0,101.16,6735.0,D,,,,,,
860730,2018-02-02,HCA,Wyatt Christopher F.,,0001209191-18-007261,2018-02-01,G,350.0,0.0,6157.0,D,,,,,,
860730,2018-02-02,HCA,Torres Kathryn A.,,0001209191-18-007258,2018-01-31,M,4300.0,22.95,4856.0,D,,,,,,
860730,2018-02-02,HCA,Sowell Joseph A III,,0001209191-18-007254,2018-02-01,S,13365.0,100.7592,22216.0,D,,,,,,
860730,2018-02-02,HCA,Torres Kathryn A.,,0001209191-18-007258,2018-02-02,S,5000.0,100.9328,1735.0,D,,,,,,
860730,2018-02-02,HCA,STEELE JOHN M,,0001209191-18-007257,2018-01-31,M,4505.0,6.4772,4505.0,D,,,,,,
860730,2018-02-02,HCA,YUSPEH ALAN R,,0001209191-18-007263,2018-01-31,S,15000.0,100.6101,22656.0,D,,,,,,
860730,2018-02-02,HCA,STEELE JOHN M,,0001209191-18-007257,2018-01-31,F,57879.0,101.16,55636.0,D,,,,,,
860730,2018-02-02,HCA,Reiner Deborah M,,0001209191-18-007238,2018-02-02,S,6545.0,101.54,0.0,D,,,,,,
860730,2018-02-02,HCA,RUTHERFORD BILL B,,0001209191-18-007239,2018-02-01,F,14976.0,102.24,101135.0,D,,,,,,
860730,2018-02-02,HCA,Reiner Deborah M,,0001209191-18-007238,2018-01-31,F,9475.0,101.16,6545.0,D,,,,,,
860730,2018-02-02,HCA,Perlin Jonathan B,,0001209191-18-007237,2018-01-31,M,27594.0,5.9821,76712.6115,D,,,,,,
860730,2018-02-02,HCA,Paslick P. Martin,,0001209191-18-007236,2018-02-01,M,75000.0,22.87,75895.0,D,,,,,,
860730,2018-02-02,HCA,Perlin Jonathan B,,0001209191-18-007237,2018-01-31,S,23005.0,101.5532,81297.6115,D,,,,,,
860730,2018-02-02,HCA,RUTHERFORD BILL B,,0001209191-18-007239,2018-02-01,S,24700.0,101.9831,76435.0,D,,,,,,
860730,2018-02-02,HCA,Morrow J William,,0001209191-18-007235,2017-03-06,G,653.0,0.0,4381.5358,D,,,,,,
860730,2018-02-02,HCA,Reiner Deborah M,,0001209191-18-007238,2018-01-31,M,5000.0,22.95,7020.0,D,,,,,,
860730,2018-02-02,HCA,RUTHERFORD BILL B,,0001209191-18-007239,2018-02-01,M,9832.0,5.3385,41269.0,D,,,,,,
860730,2018-02-02,HCA,Reiner Deborah M,,0001209191-18-007238,2018-01-31,S,2020.0,102.0,16020.0,D,,,,,,
860730,2018-02-07,HCA,Chari Ravi S.,,0001209191-18-008287,2018-02-05,F,149.0,95.89,351.0,D,,,,,,
860730,2018-02-07,HCA,Morgan Sandra L.,,0001209191-18-008290,2018-02-05,M,500.0,,5409.8654,D,,,,,,
860730,2018-02-07,HCA,Cuffe Michael S.,,0001209191-18-008288,2018-02-05,F,284.0,95.89,11089.4951,D,,,,,,
860730,2018-02-07,HCA,Cuffe Michael S.,,0001209191-18-008288,2018-02-05,M,1000.0,,11373.4951,D,,,,,,
860730,2018-02-07,HCA,Englebright Jane D.,,0001209191-18-008289,2018-02-05,F,112.0,95.89,7745.0,D,,,,,,
860730,2018-02-07,HCA,Englebright Jane D.,,0001209191-18-008289,2018-02-05,M,375.0,,7857.0,D,,,,,,
860730,2018-02-07,HCA,Morgan Sandra L.,,0001209191-18-008290,2018-02-06,S,3698.0,96.9075,1562.8654,D,,,,,,
860730,2018-02-07,HCA,Morgan Sandra L.,,0001209191-18-008290,2018-02-05,F,149.0,95.89,5260.8654,D,,,,,,
860730,2018-02-07,HCA,Chari Ravi S.,,0001209191-18-008287,2018-02-05,M,500.0,,500.0,D,,,,,,
860730,2018-02-07,HCA,Morrow J William,,0001209191-18-008291,2018-02-05,F,112.0,95.89,4618.5358,D,,,,,,
860730,2018-02-07,HCA,Torres Kathryn A.,,0001209191-18-008293,2018-02-05,F,131.0,95.89,2043.0,D,,,,,,
860730,2018-02-07,HCA,Wyatt Christopher F.,,0001209191-18-008294,2018-02-05,F,112.0,95.89,6420.0,D,,,,,,
860730,2018-02-07,HCA,Wyatt Christopher F.,,0001209191-18-008294,2018-02-05,M,375.0,,6532.0,D,,,,,,
860730,2018-02-07,HCA,Torres Kathryn A.,,0001209191-18-008293,2018-02-05,M,439.0,,2174.0,D,,,,,,
860730,2018-02-07,HCA,Morrow J William,,0001209191-18-008291,2018-02-05,M,375.0,,4730.5358,D,,,,,,
860730,2018-02-07,HCA,Reiner Deborah M,,0001209191-18-008292,2018-02-05,M,375.0,,375.0,D,,,,,,
860730,2018-02-07,HCA,Reiner Deborah M,,0001209191-18-008292,2018-02-05,F,112.0,95.89,263.0,D,,,,,,
860730,2018-02-09,HCA,Cuffe Michael S.,,0001209191-18-008997,2018-02-07,M,15000.0,22.95,26089.4951,D,,,,,,
860730,2018-02-09,HCA,Cuffe Michael S.,,0001209191-18-008997,2018-02-07,F,6665.0,98.4,19424.4951,D,,,,,,
860730,2018-02-09,HCA,Cuffe Michael S.,,0001209191-18-008997,2018-02-09,S,8335.0,97.2621,11089.4951,D,,,,,,
860730,2018-02-15,HCA,CAMPBELL VICTOR L,,0001209191-18-010514,2018-02-13,F,44535.0,98.92,180264.0,D,,,,,,
860730,2018-02-15,HCA,CAMPBELL VICTOR L,,0001209191-18-010514,2018-02-13,M,5664.0,5.9821,138539.0,D,,,,,,
860730,2018-02-16,HCA,Hall Charles J,,0001209191-18-011084,2018-02-14,M,119637.0,22.6415,161181.0,D,,,,,,
860730,2018-02-16,HCA,Hall Charles J,,0001209191-18-011084,2018-02-14,S,24344.0,99.9608,136837.0,D,,,,,,
860730,2018-02-20,HCA,YUSPEH ALAN R,,0001209191-18-011629,2018-02-16,M,12375.0,37.18,35031.0,D,,,,,,
860730,2018-02-20,HCA,YUSPEH ALAN R,,0001209191-18-011629,2018-02-16,F,6497.0,101.0,28534.0,D,,,,,,
860730,2018-02-20,HCA,Perlin Jonathan B,,0001209191-18-011628,2018-02-16,M,38480.0,17.33,119777.6115,D,,,,,,
860730,2018-02-20,HCA,Perlin Jonathan B,,0001209191-18-011628,2018-02-16,S,38480.0,102.0509,81297.6115,D,,,,,,
860730,2018-02-22,HCA,FRIST THOMAS F JR,,0001209191-18-012568,2018-02-20,G,66504.0,0.0,0.0,I,,,,,,
860730,2018-02-22,HCA,FRIST THOMAS F JR,,0001209191-18-012568,2018-02-20,P,28650.0,101.0709,389855.0,D,,,,,,
860730,2018-02-22,HCA,FRIST PATRICIA C,,0001209191-18-012573,2018-02-20,G,66504.0,0.0,0.0,I,,,,,,
860730,2018-02-22,HCA,FRIST PATRICIA C,,0001209191-18-012573,2018-02-20,P,28650.0,101.0709,389855.0,I,,,,,,
860730,2018-02-22,HCA,Englebright Jane D.,,0001209191-18-012728,2018-02-20,F,4178.0,101.0,13567.0,D,,,,,,
860730,2018-02-22,HCA,Englebright Jane D.,,0001209191-18-012728,2018-02-20,M,10000.0,22.95,17745.0,D,,,,,,
860730,2018-02-22,HCA,Hall Charles J,,0001209191-18-012729,2018-02-21,G,4950.0,0.0,50087.0,D,,,,,,
860730,2018-02-22,HCA,Hall Charles J,,0001209191-18-012729,2018-02-21,S,13621.0,101.4,70794.0,D,,,,,,
860730,2018-02-22,HCA,Hall Charles J,,0001209191-18-012729,2018-02-21,M,20371.0,17.33,61915.0,D,,,,,,
860730,2018-02-22,HCA,Hall Charles J,,0001209191-18-012729,2018-02-20,S,20504.0,101.4,41544.0,D,,,,,,
860730,2018-02-22,HCA,Hall Charles J,,0001209191-18-012729,2018-02-20,M,20504.0,17.33,62048.0,D,,,,,,
860730,2018-02-26,HCA,Cuffe Michael S.,,0001209191-18-013638,2018-02-22,F,6140.0,100.54,20549.4951,D,,,,,,
860730,2018-02-26,HCA,Cuffe Michael S.,,0001209191-18-013638,2018-02-22,A,15000.0,0.0,26089.4951,D,,,,,,
860730,2018-02-26,HCA,MOORE A BRUCE JR,,0001209191-18-013639,2018-02-25,F,1023.0,100.84,127926.0,D,,,,,,
860730,2018-02-26,HCA,MOORE A BRUCE JR,,0001209191-18-013639,2018-02-25,M,2760.0,,128949.0,D,,,,,,
860730,2018-02-26,HCA,MOORE A BRUCE JR,,0001209191-18-013639,2018-02-22,F,6297.0,100.54,126189.0,D,,,,,,
860730,2018-02-26,HCA,MOORE A BRUCE JR,,0001209191-18-013639,2018-02-22,A,16000.0,0.0,132486.0,D,,,,,,
860730,2018-02-26,HCA,JOHNSON R MILTON,,0001209191-18-013633,2018-02-22,F,49109.0,100.54,1026069.0,D,,,,,,
860730,2018-02-26,HCA,JOHNSON R MILTON,,0001209191-18-013633,2018-02-25,M,12022.0,,1038091.0,D,,,,,,
860730,2018-02-26,HCA,RUTHERFORD BILL B,,0001209191-18-013635,2018-02-25,F,1440.0,100.84,72722.0,D,,,,,,
860730,2018-02-26,HCA,Perlin Jonathan B,,0001209191-18-013640,2018-02-25,M,3452.0,,96393.6115,D,,,,,,
860730,2018-02-26,HCA,CAMPBELL VICTOR L,,0001209191-18-013641,2018-02-25,F,586.0,100.84,189868.0,D,,,,,,
860730,2018-02-26,HCA,Foster Jon M,,0001209191-18-013637,2018-02-22,A,19200.0,0.0,70418.0,D,,,,,,
860730,2018-02-26,HCA,CAMPBELL VICTOR L,,0001209191-18-013641,2018-02-25,M,1580.0,,190454.0,D,,,,,,
860730,2018-02-26,HCA,CAMPBELL VICTOR L,,0001209191-18-013641,2018-02-22,F,3190.0,100.54,188874.0,D,,,,,,
860730,2018-02-26,HCA,CAMPBELL VICTOR L,,0001209191-18-013641,2018-02-22,A,11800.0,0.0,192064.0,D,,,,,,
860730,2018-02-26,HCA,Chari Ravi S.,,0001209191-18-013642,2018-02-25,F,227.0,100.84,7003.0,D,,,,,,
860730,2018-02-26,HCA,Chari Ravi S.,,0001209191-18-013642,2018-02-25,M,930.0,,7230.0,D,,,,,,
860730,2018-02-26,HCA,Perlin Jonathan B,,0001209191-18-013640,2018-02-25,F,1278.0,100.84,95115.6115,D,,,,,,
860730,2018-02-26,HCA,Chari Ravi S.,,0001209191-18-013642,2018-02-22,F,3151.0,100.54,6300.0,D,,,,,,
860730,2018-02-26,HCA,Perlin Jonathan B,,0001209191-18-013640,2018-02-22,F,7556.0,100.54,92941.6115,D,,,,,,
860730,2018-02-26,HCA,RUTHERFORD BILL B,,0001209191-18-013635,2018-02-25,M,3658.0,,74162.0,D,,,,,,
860730,2018-02-26,HCA,Englebright Jane D.,,0001209191-18-013643,2018-02-25,F,140.0,100.84,19808.0,D,,,,,,
860730,2018-02-26,HCA,JOHNSON R MILTON,,0001209191-18-013633,2018-02-25,F,4449.0,100.84,1033642.0,D,,,,,,
860730,2018-02-26,HCA,HAZEN SAMUEL N,,0001209191-18-013634,2018-02-25,M,5926.0,,34431.0,D,,,,,,
860730,2018-02-26,HCA,Cuffe Michael S.,,0001209191-18-013638,2018-02-25,F,479.0,100.84,21287.4951,D,,,,,,
860730,2018-02-26,HCA,Cuffe Michael S.,,0001209191-18-013638,2018-02-25,M,1217.0,,21766.4951,D,,,,,,
860730,2018-02-26,HCA,Perlin Jonathan B,,0001209191-18-013640,2018-02-22,A,19200.0,0.0,100497.6115,D,,,,,,
860730,2018-02-26,HCA,HAZEN SAMUEL N,,0001209191-18-013634,2018-02-22,F,18495.0,100.54,28505.0,D,,,,,,
860730,2018-02-26,HCA,HAZEN SAMUEL N,,0001209191-18-013634,2018-02-22,A,47000.0,0.0,47000.0,D,,,,,,
860730,2018-02-26,HCA,JOHNSON R MILTON,,0001209191-18-013633,2018-02-22,A,124800.0,0.0,1075178.0,D,,,,,,
860730,2018-02-26,HCA,HAZEN SAMUEL N,,0001209191-18-013634,2018-02-25,F,2194.0,100.84,32237.0,D,,,,,,
860730,2018-02-26,HCA,Hall Charles J,,0001209191-18-013636,2018-02-25,F,1333.0,100.84,63999.0,D,,,,,,
860730,2018-02-26,HCA,Hall Charles J,,0001209191-18-013636,2018-02-25,M,3601.0,,65332.0,D,,,,,,
860730,2018-02-26,HCA,Hall Charles J,,0001209191-18-013636,2018-02-22,F,7556.0,100.54,61731.0,D,,,,,,
860730,2018-02-26,HCA,Hall Charles J,,0001209191-18-013636,2018-02-22,A,19200.0,0.0,69287.0,D,,,,,,
860730,2018-02-26,HCA,Foster Jon M,,0001209191-18-013637,2018-02-25,F,1289.0,100.84,65054.0,D,,,,,,
860730,2018-02-26,HCA,Foster Jon M,,0001209191-18-013637,2018-02-25,M,3481.0,,66343.0,D,,,,,,
860730,2018-02-26,HCA,Foster Jon M,,0001209191-18-013637,2018-02-22,F,7556.0,100.54,62862.0,D,,,,,,
860730,2018-02-26,HCA,Chari Ravi S.,,0001209191-18-013642,2018-02-22,A,8800.0,0.0,9151.0,D,,,,,,
860730,2018-02-26,HCA,RUTHERFORD BILL B,,0001209191-18-013635,2018-02-22,F,11569.0,100.54,70504.0,D,,,,,,
860730,2018-02-26,HCA,RUTHERFORD BILL B,,0001209191-18-013635,2018-02-22,A,29400.0,0.0,82073.0,D,,,,,,
860730,2018-02-26,HCA,Morrow J William,,0001209191-18-013645,2018-02-22,F,1638.0,100.54,9196.5358,D,,,,,,
860730,2018-02-26,HCA,Morrow J William,,0001209191-18-013645,2018-02-12,G,409.0,0.0,4209.5358,D,,,,,,
860730,2018-02-26,HCA,WATERMAN ROBERT A,,0001209191-18-013652,2018-02-22,A,17600.0,0.0,257752.0,D,,,,,,
860730,2018-02-26,HCA,STEAKLEY JOSEPH N,,0001209191-18-013649,2018-02-22,A,8800.0,0.0,66216.4249,D,,,,,,
860730,2018-02-26,HCA,STEELE JOHN M,,0001209191-18-013650,2018-02-25,F,841.0,100.84,67741.0,D,,,,,,
860730,2018-02-26,HCA,STEELE JOHN M,,0001209191-18-013650,2018-02-25,M,2272.0,,68582.0,D,,,,,,
860730,2018-02-26,HCA,STEELE JOHN M,,0001209191-18-013650,2018-02-22,F,6926.0,100.54,66310.0,D,,,,,,
860730,2018-02-26,HCA,STEELE JOHN M,,0001209191-18-013650,2018-02-22,A,17600.0,0.0,73236.0,D,,,,,,
860730,2018-02-26,HCA,Paslick P. Martin,,0001209191-18-013646,2018-02-25,M,1940.0,,10916.0,D,,,,,,
860730,2018-02-26,HCA,WATERMAN ROBERT A,,0001209191-18-013652,2018-02-25,M,3288.0,,255581.0,D,,,,,,
860730,2018-02-26,HCA,WATERMAN ROBERT A,,0001209191-18-013652,2018-02-22,F,5459.0,100.54,252293.0,D,,,,,,
860730,2018-02-26,HCA,Paslick P. Martin,,0001209191-18-013646,2018-02-25,F,719.0,100.84,10197.0,D,,,,,,
860730,2018-02-26,HCA,Sowell Joseph A III,,0001209191-18-013648,2018-02-25,F,809.0,100.84,15608.0,D,,,,,,
860730,2018-02-26,HCA,Wyatt Christopher F.,,0001209191-18-013653,2018-02-22,F,1636.0,100.54,11409.0,D,,,,,,
860730,2018-02-26,HCA,Wyatt Christopher F.,,0001209191-18-013653,2018-02-22,A,6400.0,0.0,12820.0,D,,,,,,
860730,2018-02-26,HCA,YUSPEH ALAN R,,0001209191-18-013654,2018-02-25,F,385.0,100.84,35546.0,D,,,,,,
860730,2018-02-26,HCA,YUSPEH ALAN R,,0001209191-18-013654,2018-02-25,M,1747.0,,35931.0,D,,,,,,
860730,2018-02-26,HCA,YUSPEH ALAN R,,0001209191-18-013654,2018-02-22,F,3150.0,100.54,34184.0,D,,,,,,
860730,2018-02-26,HCA,YUSPEH ALAN R,,0001209191-18-013654,2018-02-22,A,8800.0,0.0,37334.0,D,,,,,,
860730,2018-02-26,HCA,Torres Kathryn A.,,0001209191-18-013651,2018-02-22,F,1649.0,100.54,5057.0,D,,,,,,
860730,2018-02-26,HCA,STEAKLEY JOSEPH N,,0001209191-18-013649,2018-02-22,F,2184.0,100.54,64032.4249,D,,,,,,
860730,2018-02-26,HCA,Reiner Deborah M,,0001209191-18-013647,2018-02-22,A,4800.0,0.0,5063.0,D,,,,,,
860730,2018-02-26,HCA,Englebright Jane D.,,0001209191-18-013643,2018-02-25,M,634.0,,19948.0,D,,,,,,
860730,2018-02-26,HCA,Englebright Jane D.,,0001209191-18-013643,2018-02-22,F,3278.0,100.54,19314.0,D,,,,,,
860730,2018-02-26,HCA,Sowell Joseph A III,,0001209191-18-013648,2018-02-22,F,5824.0,100.54,14362.0,D,,,,,,
860730,2018-02-26,HCA,Sowell Joseph A III,,0001209191-18-013648,2018-02-22,A,14800.0,0.0,20186.0,D,,,,,,
860730,2018-02-26,HCA,Englebright Jane D.,,0001209191-18-013643,2018-02-22,A,8800.0,0.0,22367.0,D,,,,,,
860730,2018-02-26,HCA,Morgan Sandra L.,,0001209191-18-013644,2018-02-25,F,165.0,100.84,8505.8654,D,,,,,,
860730,2018-02-26,HCA,Morgan Sandra L.,,0001209191-18-013644,2018-02-25,M,676.0,,8670.8654,D,,,,,,
860730,2018-02-26,HCA,Morgan Sandra L.,,0001209191-18-013644,2018-02-22,F,2668.0,100.54,7994.8654,D,,,,,,
860730,2018-02-26,HCA,Morgan Sandra L.,,0001209191-18-013644,2018-02-22,A,8800.0,0.0,10362.8654,D,,,,,,
860730,2018-02-26,HCA,Morrow J William,,0001209191-18-013645,2018-02-22,A,6400.0,0.0,10609.5358,D,,,,,,
860730,2018-02-26,HCA,Reiner Deborah M,,0001209191-18-013647,2018-02-22,F,1856.0,100.54,3432.0,D,,,,,,
860730,2018-02-26,HCA,Paslick P. Martin,,0001209191-18-013646,2018-02-22,F,5824.0,100.54,8976.0,D,,,,,,
860730,2018-02-26,HCA,Paslick P. Martin,,0001209191-18-013646,2018-02-22,A,14800.0,0.0,14800.0,D,,,,,,
860730,2018-02-26,HCA,WATERMAN ROBERT A,,0001209191-18-013652,2018-02-25,F,725.0,100.84,254856.0,D,,,,,,
860730,2018-02-26,HCA,Torres Kathryn A.,,0001209191-18-013651,2018-02-22,A,4400.0,0.0,6443.0,D,,,,,,
860730,2018-02-26,HCA,STEAKLEY JOSEPH N,,0001209191-18-013649,2018-02-25,M,1497.0,,65529.4249,D,,,,,,
860730,2018-02-26,HCA,STEAKLEY JOSEPH N,,0001209191-18-013649,2018-02-25,F,330.0,100.84,65199.4249,D,,,,,,
860730,2018-02-26,HCA,Paslick P. Martin,,0001209191-18-013646,2018-02-15,G,54082.0,0.0,0.0,D,,,,,,
860730,2018-02-26,HCA,Sowell Joseph A III,,0001209191-18-013648,2018-02-25,M,2055.0,,16417.0,D,,,,,,
860730,2018-05-04,HCA,LAMONT ANN H,,0001209191-18-028159,2018-05-02,A,1790.0,0.0,17661.0,D,,,,,,
860730,2018-05-04,HCA,HOLLIDAY CHARLES O JR,,0001209191-18-028158,2018-05-02,A,1790.0,0.0,14094.0,D,,,,,,
860730,2018-05-04,HCA,DEPARLE NANCY ANN,,0001209191-18-028156,2018-05-02,A,1790.0,0.0,14662.0,D,,,,,,
860730,2018-05-04,HCA,MICHELSON MICHAEL W,,0001209191-18-028162,2018-05-02,A,1790.0,0.0,2263.0,D,,,,,,
860730,2018-05-04,HCA,MEYERS GEOFFREY G,,0001209191-18-028160,2018-05-02,A,1790.0,0.0,37743.0,D,,,,,,
860730,2018-05-04,HCA,Dennis Robert J,,0001209191-18-028155,2018-05-02,A,1790.0,0.0,18704.0,D,,,,,,
860730,2018-05-04,HCA,Riley Wayne Joseph,,0001209191-18-028164,2018-05-02,A,1790.0,0.0,12691.0,D,,,,,,
860730,2018-05-04,HCA,ROWE JOHN W,,0001209191-18-028165,2018-05-02,A,1790.0,0.0,28978.0,D,,,,,,
860730,2018-05-04,HCA,FRIST THOMAS F III,,0001209191-18-028169,2018-02-20,G,22168.0,0.0,22168.0001,I,,,,,,
