cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
352541,2016-02-18,LNT,KOPP DOUGLAS R.,,0000352541-16-000056,2016-02-17,A,705.0,0.0,5567.362,D,,,,,,
352541,2016-02-18,LNT,KAMPLING PATRICIA L,,0000352541-16-000054,2016-02-17,A,8811.0,0.0,68596.168,D,,,,,,
352541,2016-02-18,LNT,GALLEGOS JAMES H,,0000352541-16-000052,2016-02-17,A,1688.0,0.0,14633.057,D,,,,,,
352541,2016-02-29,LNT,LARSEN JOHN O,,0000352541-16-000078,2016-02-25,S,3000.0,69.9399,3994.502,D,,,,,,
352541,2016-03-04,LNT,HANSON THOMAS L,,0000352541-16-000080,2016-03-03,S,7500.0,68.1536,18725.741,D,,,,,,
352541,2016-05-10,LNT,Dunie Deborah B.,,0000352541-16-000126,2016-05-10,P,1000.0,73.105,3000.0,D,,,,,,
352541,2016-07-12,LNT,GALLEGOS JAMES H,,0000352541-16-000141,2016-07-11,S,5000.0,40.2915,24266.114,D,,,,,,
352541,2016-08-10,LNT,KAMPLING PATRICIA L,,0000352541-16-000167,2016-08-09,S,0.336,39.2972,137192.0,D,,,,,,
352541,2016-11-07,LNT,Dunie Deborah B.,,0000352541-16-000205,2016-11-07,P,1350.0,37.2367,7350.0,D,,,,,,
352541,2017-02-16,LNT,GALLEGOS JAMES H,,0000352541-17-000010,2017-02-15,A,6036.0,37.54,30302.114,D,,,,,,
352541,2017-02-16,LNT,GALLEGOS JAMES H,,0000352541-17-000010,2017-02-15,F,3041.0,37.54,27261.114,D,,,,,,
352541,2017-02-16,LNT,DURIAN ROBERT J,,0000352541-17-000012,2017-02-15,A,1369.0,37.54,3822.796,D,,,,,,
352541,2017-02-24,LNT,LARSEN JOHN O,,0000352541-17-000029,2017-02-23,F,2355.0,39.11,12387.876,D,,,,,,
352541,2017-02-24,LNT,DURIAN ROBERT J,,0000352541-17-000027,2017-02-23,A,2018.627,0.0,5841.423,D,,,,,,
352541,2017-02-24,LNT,DURIAN ROBERT J,,0000352541-17-000027,2017-02-23,F,697.0,39.11,5144.423,D,,,,,,
352541,2017-02-24,LNT,KOPP DOUGLAS R.,,0000352541-17-000025,2017-02-23,A,3822.322,0.0,15318.468,D,,,,,,
352541,2017-02-24,LNT,KOPP DOUGLAS R.,,0000352541-17-000025,2017-02-23,F,1285.0,39.11,14033.468,D,,,,,,
352541,2017-02-24,LNT,KAMPLING PATRICIA L,,0000352541-17-000023,2017-02-23,A,49916.163,0.0,187108.163,D,,,,,,
352541,2017-02-24,LNT,KAMPLING PATRICIA L,,0000352541-17-000023,2017-02-23,F,24693.0,39.11,162415.163,D,,,,,,
352541,2017-02-24,LNT,GALLEGOS JAMES H,,0000352541-17-000021,2017-02-23,A,8901.018,0.0,36162.132,D,,,,,,
352541,2017-02-24,LNT,RESCHKE WAYNE A,,0000352541-17-000031,2017-02-23,A,6166.675,0.0,28019.272,D,,,,,,
352541,2017-02-24,LNT,RESCHKE WAYNE A,,0000352541-17-000031,2017-02-23,F,1731.0,39.11,26288.272,D,,,,,,
352541,2017-02-24,LNT,LARSEN JOHN O,,0000352541-17-000029,2017-02-23,A,6753.872,0.0,14742.876,D,,,,,,
352541,2017-02-24,LNT,GALLEGOS JAMES H,,0000352541-17-000021,2017-02-23,F,3115.0,39.11,33047.132,D,,,,,,
352541,2017-05-22,LNT,Dunie Deborah B.,,0000352541-17-000058,2017-05-19,P,3700.0,39.6123,11050.0,D,,,,,,
352541,2017-05-25,LNT,GALLEGOS JAMES H,,0000352541-17-000060,2017-05-23,S,5000.0,41.25,28093.024,D,,,,,,
