cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1024478,2019-06-11,ROK,Laszkiewicz Michael,isOfficer,0001246360-19-001626,2019-06-10,S,263.0,159.3773,6868.0,D,,,,,,
1024478,2019-07-02,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-19-001670,2019-07-02,S,297.0,161.5302,39695.0,D,,,,,,
1024478,2019-07-30,ROK,MILLER JOHN M,isOfficer,0001246360-19-001815,2019-07-29,S,3250.0,163.6691,4784.0,D,,,,,,
1024478,2019-08-27,ROK,DORGAN DAVID M,isOfficer,0001246360-19-002021,2019-08-26,G,50.0,0.0,8139.0,D,,,,,,
1024478,2019-10-02,ROK,KEANE JAMES P,isDirector,0001246360-19-002152,2019-10-01,A,663.0,0.0,10764.0,D,,,,,,
1024478,2019-10-02,ROK,KALMANSON STEVEN R,isDirector,0001246360-19-002151,2019-10-01,A,663.0,0.0,10764.0,D,,,,,,
1024478,2019-10-02,ROK,Kingsley Lawrence D,isDirector,0001246360-19-002150,2019-10-01,A,663.0,0.0,7448.868,D,,,,,,
1024478,2019-10-02,ROK,Murphy Pam,isDirector,0001246360-19-002149,2019-10-01,A,663.0,0.0,1059.0,D,,,,,,
1024478,2019-10-02,ROK,Parfet Donald R,isDirector,0001246360-19-002148,2019-10-01,A,663.0,0.0,11977.0,D,,,,,,
1024478,2019-10-02,ROK,PAYNE LISA A,isDirector,0001246360-19-002147,2019-10-01,A,663.0,0.0,5166.0,D,,,,,,
1024478,2019-10-02,ROK,Rosamilia Thomas W,isDirector,0001246360-19-002146,2019-10-01,A,663.0,0.0,3852.0,D,,,,,,
1024478,2019-10-02,ROK,Watson Patricia A,isDirector,0001246360-19-002145,2019-10-01,A,663.0,0.0,2449.0,D,,,,,,
1024478,2019-10-30,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-19-002328,2019-10-28,S,1700.0,179.0682,39695.0,D,,,,,,
1024478,2019-10-30,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-19-002328,2019-10-28,M,1700.0,97.0,41395.0,D,,,,,,
1024478,2019-10-31,ROK,Etzel Steven W.,isOfficer,0001246360-19-002334,2019-10-30,A,580.0,0.0,9063.0,D,,,,,,
1024478,2019-11-04,ROK,Nicolas Ernest,isOfficer,0001246360-19-002361,2019-11-01,A,2820.0,0.0,5109.5,D,,,,,,
1024478,2019-11-06,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-19-002380,2019-11-04,M,7300.0,97.0,46995.0,D,,,,,,
1024478,2019-11-06,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-19-002380,2019-11-04,S,600.0,180.2875,46395.0,D,,,,,,
1024478,2019-11-14,ROK,Fooks Elik I,isOfficer,0001246360-19-002430,2019-11-14,M,7100.0,69.57,17596.8046,D,,,,,,
1024478,2019-11-14,ROK,Fooks Elik I,isOfficer,0001246360-19-002430,2019-11-14,S,7100.0,199.0703,10496.8046,D,,,,,,
1024478,2019-11-14,ROK,Goris Patrick P.,isOfficer,0001246360-19-002424,2019-11-12,M,3400.0,80.11,12201.96,D,,,,,,
1024478,2019-11-14,ROK,Goris Patrick P.,isOfficer,0001246360-19-002424,2019-11-12,S,3400.0,200.0,8801.96,D,,,,,,
1024478,2019-11-15,ROK,Etzel Steven W.,isOfficer,0001246360-19-002445,2019-11-14,S,4900.0,198.1656,9063.0,D,,,,,,
1024478,2019-11-15,ROK,Etzel Steven W.,isOfficer,0001246360-19-002445,2019-11-14,M,4900.0,74.14,13963.0,D,,,,,,
1024478,2019-11-15,ROK,DORGAN DAVID M,isOfficer,0001246360-19-002446,2019-11-14,G,26.0,0.0,7165.0,D,,,,,,
1024478,2019-11-15,ROK,Chand Sujeet,isOfficer,0001246360-19-002444,2019-11-14,M,11000.0,108.89,52200.0,D,,,,,,
1024478,2019-11-15,ROK,Etzel Steven W.,isOfficer,0001246360-19-002445,2019-11-14,G,100.0,0.0,8963.0,D,,,,,,
1024478,2019-11-15,ROK,Chand Sujeet,isOfficer,0001246360-19-002444,2019-11-14,S,10135.0,197.4177,42065.0,D,,,,,,
1024478,2019-11-15,ROK,Kulaszewicz Frank C,isOfficer,0001246360-19-002447,2019-11-14,M,5000.0,104.08,34462.0,D,,,,,,
1024478,2019-11-15,ROK,Kulaszewicz Frank C,isOfficer,0001246360-19-002447,2019-11-15,S,4800.0,198.7709,24965.0,D,,,,,,
1024478,2019-11-15,ROK,Kulaszewicz Frank C,isOfficer,0001246360-19-002447,2019-11-15,M,4800.0,104.08,29765.0,D,,,,,,
1024478,2019-11-15,ROK,DORGAN DAVID M,isOfficer,0001246360-19-002446,2019-11-14,S,10148.0,198.2213,7191.0,D,,,,,,
1024478,2019-11-15,ROK,Kulaszewicz Frank C,isOfficer,0001246360-19-002447,2019-11-14,S,13397.0,199.2649,24965.0,D,,,,,,
1024478,2019-11-15,ROK,DORGAN DAVID M,isOfficer,0001246360-19-002446,2019-11-14,M,3200.0,115.69,11339.0,D,,,,,,
1024478,2019-11-20,ROK,DORGAN DAVID M,isOfficer,0001246360-19-002459,2019-11-18,I,1717.6222,197.67,0.0,I,,,,,,
1024478,2019-11-22,ROK,Kulaszewicz Frank C,isOfficer,0001246360-19-002490,2019-11-21,M,7966.0,136.4,32931.0,D,,,,,,
1024478,2019-11-22,ROK,Kulaszewicz Frank C,isOfficer,0001246360-19-002490,2019-11-21,S,7500.0,196.0234,25431.0,D,,,,,,
1024478,2019-11-26,ROK,MILLER JOHN M,isOfficer,0001246360-19-002508,2019-11-22,F,499.0,194.8,5685.0,D,,,,,,
1024478,2019-11-26,ROK,MILLER JOHN M,isOfficer,0001246360-19-002508,2019-11-22,M,1400.0,69.57,6184.0,D,,,,,,
1024478,2019-11-27,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-19-002514,2019-11-26,M,1200.0,80.11,40895.0,D,,,,,,
1024478,2019-11-27,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-19-002514,2019-11-26,F,489.0,196.32,40406.0,D,,,,,,
1024478,2019-12-09,ROK,Etzel Steven W.,isOfficer,0001246360-19-002601,2019-12-05,A,150.0,0.0,9113.0,D,,,,,,
1024478,2019-12-09,ROK,Fooks Elik I,isOfficer,0001246360-19-002600,2019-12-05,A,350.0,0.0,10846.8046,D,,,,,,
1024478,2019-12-09,ROK,Goris Patrick P.,isOfficer,0001246360-19-002602,2019-12-05,A,1300.0,0.0,10101.96,D,,,,,,
1024478,2019-12-09,ROK,Kulaszewicz Frank C,isOfficer,0001246360-19-002603,2019-12-05,A,1000.0,0.0,26431.0,D,,,,,,
1024478,2019-12-09,ROK,House Rebecca W,isOfficer,0001246360-19-002604,2019-12-05,A,770.0,0.0,4990.0,D,,,,,,
1024478,2019-12-09,ROK,Chand Sujeet,isOfficer,0001246360-19-002597,2019-12-05,A,690.0,0.0,30890.0,D,,,,,,
1024478,2019-12-09,ROK,MILLER JOHN M,isOfficer,0001246360-19-002606,2019-12-05,A,130.0,0.0,5815.0,D,,,,,,
1024478,2019-12-09,ROK,Keegans Karen L.,isOfficer,0001246360-19-002605,2019-12-05,A,620.0,0.0,2870.0,D,,,,,,
1024478,2019-12-09,ROK,Nicolas Ernest,isOfficer,0001246360-19-002610,2019-12-05,A,270.0,0.0,5379.5,D,,,,,,
1024478,2019-12-09,ROK,Wlodarczyk Francis,isOfficer,0001246360-19-002612,2019-12-05,A,840.0,0.0,6597.0,D,,,,,,
1024478,2019-12-09,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-19-002607,2019-12-05,A,4280.0,0.0,44686.0,D,,,,,,
1024478,2019-12-09,ROK,Nardecchia Christopher,isOfficer,0001246360-19-002608,2019-12-05,A,1840.0,0.0,3700.0,D,,,,,,
1024478,2019-12-09,ROK,Murphy Robert B,isOfficer,0001246360-19-002609,2019-12-05,A,350.0,0.0,2489.0,D,,,,,,
1024478,2019-12-09,ROK,Riesterer Terry L.,isOfficer,0001246360-19-002611,2019-12-05,A,150.0,0.0,570.0,D,,,,,,
1024478,2019-12-09,ROK,Genovesi John A,isOfficer,0001246360-19-002599,2019-12-05,A,390.0,0.0,3210.0,D,,,,,,
1024478,2019-12-10,ROK,MILLER JOHN M,isOfficer,0001246360-19-002649,2019-12-09,S,501.0,199.124,5676.0,D,,,,,,
1024478,2019-12-10,ROK,Donato Thomas,isOfficer,0001246360-19-002647,2019-12-09,S,253.0,198.8378,2469.0,D,,,,,,
1024478,2019-12-10,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-19-002648,2019-12-06,M,6592.0,0.0,51278.0,D,,,,,,
1024478,2019-12-10,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-19-002648,2019-12-09,S,4865.0,198.9784,46413.0,D,,,,,,
1024478,2019-12-10,ROK,Donato Thomas,isOfficer,0001246360-19-002647,2019-12-06,M,210.0,0.0,2360.0,D,,,,,,
1024478,2019-12-10,ROK,Chand Sujeet,isOfficer,0001246360-19-002644,2019-12-06,M,1548.0,0.0,32438.0,D,,,,,,
1024478,2019-12-10,ROK,Etzel Steven W.,isOfficer,0001246360-19-002645,2019-12-09,S,164.0,198.912,9273.0,D,,,,,,
1024478,2019-12-10,ROK,Murphy Robert B,isOfficer,0001246360-19-002646,2019-12-09,S,373.0,199.0939,2856.0,D,,,,,,
1024478,2019-12-10,ROK,Murphy Robert B,isOfficer,0001246360-19-002646,2019-12-06,M,740.0,0.0,3229.0,D,,,,,,
1024478,2019-12-10,ROK,Etzel Steven W.,isOfficer,0001246360-19-002645,2019-12-06,M,324.0,0.0,9437.0,D,,,,,,
1024478,2019-12-10,ROK,MILLER JOHN M,isOfficer,0001246360-19-002649,2019-12-06,M,362.0,0.0,6177.0,D,,,,,,
1024478,2019-12-10,ROK,Kulaszewicz Frank C,isOfficer,0001246360-19-002650,2019-12-09,S,1815.0,199.136,27065.0,D,,,,,,
1024478,2019-12-10,ROK,Chand Sujeet,isOfficer,0001246360-19-002644,2019-12-09,S,1151.0,198.9745,31287.0,D,,,,,,
1024478,2019-12-10,ROK,Goris Patrick P.,isOfficer,0001246360-19-002651,2019-12-09,S,164.0,199.2201,10261.96,D,,,,,,
1024478,2019-12-10,ROK,Riesterer Terry L.,isOfficer,0001246360-19-002656,2019-12-06,M,270.0,0.0,840.0,D,,,,,,
1024478,2019-12-10,ROK,Riesterer Terry L.,isOfficer,0001246360-19-002656,2019-12-09,S,138.0,199.1812,702.0,D,,,,,,
1024478,2019-12-10,ROK,Nicolas Ernest,isOfficer,0001246360-19-002655,2019-12-06,M,239.0,0.0,5618.5,D,,,,,,
1024478,2019-12-10,ROK,Nicolas Ernest,isOfficer,0001246360-19-002655,2019-12-09,S,121.0,199.0187,5497.5,D,,,,,,
1024478,2019-12-10,ROK,Genovesi John A,isOfficer,0001246360-19-002652,2019-12-06,M,378.0,0.0,3588.0,D,,,,,,
1024478,2019-12-10,ROK,Wlodarczyk Francis,isOfficer,0001246360-19-002654,2019-12-06,M,362.0,0.0,6959.0,D,,,,,,
1024478,2019-12-10,ROK,Genovesi John A,isOfficer,0001246360-19-002652,2019-12-09,S,145.0,199.1163,3443.0,D,,,,,,
1024478,2019-12-10,ROK,Goris Patrick P.,isOfficer,0001246360-19-002651,2019-12-06,M,324.0,0.0,10425.96,D,,,,,,
1024478,2019-12-10,ROK,Wlodarczyk Francis,isOfficer,0001246360-19-002654,2019-12-09,S,183.0,199.0173,6776.0,D,,,,,,
1024478,2019-12-10,ROK,Fooks Elik I,isOfficer,0001246360-19-002653,2019-12-06,M,362.0,0.0,11208.8046,D,,,,,,
1024478,2019-12-10,ROK,Kulaszewicz Frank C,isOfficer,0001246360-19-002650,2019-12-06,M,2449.0,0.0,28880.0,D,,,,,,
1024478,2019-12-10,ROK,Fooks Elik I,isOfficer,0001246360-19-002653,2019-12-09,S,254.0,198.9098,10954.8046,D,,,,,,
1024478,2019-12-12,ROK,Goris Patrick P.,isOfficer,0001246360-19-002667,2019-12-12,S,69.0,202.86,10192.96,D,,,,,,
1024478,2019-12-12,ROK,Etzel Steven W.,isOfficer,0001246360-19-002666,2019-12-12,S,70.0,202.86,9203.0,D,,,,,,
1024478,2020-01-07,ROK,House Rebecca W,isOfficer,0001246360-20-000125,2020-01-06,S,895.0,202.7009,4095.0,D,,,,,,
1024478,2020-02-06,ROK,PAYNE LISA A,isDirector,0001246360-20-000407,2020-02-04,A,198.0,0.0,5364.0,D,,,,,,
1024478,2020-02-06,ROK,KEANE JAMES P,isDirector,0001246360-20-000402,2020-02-04,A,198.0,0.0,10962.0,D,,,,,,
1024478,2020-02-06,ROK,Murphy Pam,isDirector,0001246360-20-000408,2020-02-04,A,198.0,0.0,1257.0,D,,,,,,
1024478,2020-02-06,ROK,Kingsley Lawrence D,isDirector,0001246360-20-000406,2020-02-04,A,198.0,0.0,7646.868,D,,,,,,
1024478,2020-02-06,ROK,KALMANSON STEVEN R,isDirector,0001246360-20-000404,2020-02-04,A,198.0,0.0,10962.0,D,,,,,,
1024478,2020-02-06,ROK,Parfet Donald R,isDirector,0001246360-20-000411,2020-02-04,A,198.0,0.0,12175.0,D,,,,,,
1024478,2020-02-06,ROK,Etzel Steven W.,isOfficer,0001246360-20-000416,2020-02-05,M,2200.0,80.11,11403.0,D,,,,,,
1024478,2020-02-06,ROK,Etzel Steven W.,isOfficer,0001246360-20-000416,2020-02-05,S,2480.0,204.0865,8923.0,D,,,,,,
1024478,2020-02-06,ROK,Watson Patricia A,isDirector,0001246360-20-000409,2020-02-04,A,198.0,0.0,2647.0,D,,,,,,
1024478,2020-02-06,ROK,Rosamilia Thomas W,isDirector,0001246360-20-000410,2020-02-04,A,198.0,0.0,4050.0,D,,,,,,
1024478,2020-02-07,ROK,Murphy Robert B,isOfficer,0001246360-20-000441,2020-02-06,M,2000.0,108.89,4856.0,D,,,,,,
1024478,2020-02-07,ROK,Murphy Robert B,isOfficer,0001246360-20-000441,2020-02-06,S,4400.0,204.7786,2856.0,D,,,,,,
1024478,2020-02-07,ROK,MILLER JOHN M,isOfficer,0001246360-20-000440,2020-02-06,S,1071.0,204.9085,4605.0,D,,,,,,
1024478,2020-02-10,ROK,Kulaszewicz Frank C,isOfficer,0001246360-20-000443,2020-02-07,S,2500.0,204.0651,24565.0,D,,,,,,
1024478,2020-02-11,ROK,Goris Patrick P.,isOfficer,0001246360-20-000448,2020-02-10,S,323.0,202.5154,9869.96,D,,,,,,
1024478,2020-02-12,ROK,Kulaszewicz Frank C,isOfficer,0001246360-20-000463,2020-02-11,S,1000.0,205.1235,23799.0,D,,,,,,
1024478,2020-02-12,ROK,Kulaszewicz Frank C,isOfficer,0001246360-20-000463,2020-02-11,M,234.0,136.4,24799.0,D,,,,,,
1024478,2020-02-13,ROK,Fooks Elik I,isOfficer,0001246360-20-000501,2020-02-12,M,5200.0,74.14,16154.8046,D,,,,,,
1024478,2020-02-13,ROK,Fooks Elik I,isOfficer,0001246360-20-000501,2020-02-12,S,5200.0,205.7319,10954.8046,D,,,,,,
1024478,2020-02-14,ROK,Goris Patrick P.,isOfficer,0001246360-20-000564,2020-02-13,S,127.0,204.55,9742.96,D,,,,,,
1024478,2020-03-17,ROK,Fooks Elik I,isOfficer,0001246360-20-000928,2020-03-16,S,58.0,155.7772,10896.8046,D,,,,,,
1024478,2020-05-06,ROK,MILLER JOHN M,isOfficer,0001246360-20-001144,2020-05-05,S,200.0,190.52,4405.0,D,,,,,,
1024478,2020-05-08,ROK,Holloman James Phillip,isDirector,0001246360-20-001174,2020-05-08,S,1582.0,194.34,0.0,D,,,,,,
1024478,2020-05-20,ROK,Fooks Elik I,isOfficer,0001246360-20-001246,2020-05-19,S,4000.0,206.485,10896.8046,D,,,,,,
1024478,2020-05-20,ROK,Fooks Elik I,isOfficer,0001246360-20-001246,2020-05-19,M,4000.0,80.11,14896.8046,D,,,,,,
1024478,2020-05-20,ROK,Kulaszewicz Frank C,isOfficer,0001246360-20-001247,2020-05-18,S,2000.0,207.4335,21799.0,D,,,,,,
1024478,2020-05-20,ROK,Keegans Karen L.,isOfficer,0001246360-20-001249,2020-05-19,S,4100.0,205.2032,2870.0,D,,,,,,
1024478,2020-05-20,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-20-001248,2020-05-18,M,13719.0,74.14,60132.0,D,,,,,,
1024478,2020-05-20,ROK,Keegans Karen L.,isOfficer,0001246360-20-001249,2020-05-19,M,4100.0,155.85,6970.0,D,,,,,,
1024478,2020-05-20,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-20-001248,2020-05-18,S,13719.0,209.1017,46413.0,D,,,,,,
1024478,2020-05-22,ROK,Wlodarczyk Francis,isOfficer,0001246360-20-001293,2020-05-20,M,4100.0,104.08,10876.0,D,,,,,,
1024478,2020-05-22,ROK,Wlodarczyk Francis,isOfficer,0001246360-20-001293,2020-05-20,S,4100.0,206.3257,6776.0,D,,,,,,
1024478,2020-05-22,ROK,Etzel Steven W.,isOfficer,0001246360-20-001292,2020-05-20,M,1200.0,80.11,10123.0,D,,,,,,
1024478,2020-05-22,ROK,Etzel Steven W.,isOfficer,0001246360-20-001292,2020-05-20,S,1200.0,205.4992,8923.0,D,,,,,,
1024478,2020-05-28,ROK,Kulaszewicz Frank C,isOfficer,0001246360-20-001317,2020-05-27,M,2500.0,136.4,24299.0,D,,,,,,
1024478,2020-05-28,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-20-001318,2020-05-26,S,3181.0,209.1026,46413.0,D,,,,,,
1024478,2020-05-28,ROK,Chand Sujeet,isOfficer,0001246360-20-001319,2020-05-26,S,9922.0,213.5827,28665.0,D,,,,,,
1024478,2020-05-28,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-20-001318,2020-05-26,M,3181.0,74.14,49594.0,D,,,,,,
1024478,2020-05-28,ROK,Chand Sujeet,isOfficer,0001246360-20-001319,2020-05-26,M,7300.0,115.69,38587.0,D,,,,,,
1024478,2020-05-28,ROK,Parfet Donald R,isDirector,0001246360-20-001320,2020-05-26,G,1744.0,0.0,10431.0,D,,,,,,
1024478,2020-05-28,ROK,Kulaszewicz Frank C,isOfficer,0001246360-20-001317,2020-05-27,S,4045.0,217.5001,20254.0,D,,,,,,
1024478,2020-05-29,ROK,Etzel Steven W.,isOfficer,0001246360-20-001352,2020-05-28,M,1700.0,108.89,10623.0,D,,,,,,
1024478,2020-05-29,ROK,Etzel Steven W.,isOfficer,0001246360-20-001352,2020-05-28,S,1700.0,218.26,8923.0,D,,,,,,
1024478,2020-05-29,ROK,Goris Patrick P.,isOfficer,0001246360-20-001351,2020-05-28,M,3300.0,115.69,13042.96,D,,,,,,
1024478,2020-05-29,ROK,Goris Patrick P.,isOfficer,0001246360-20-001351,2020-05-28,S,3300.0,220.0,9742.96,D,,,,,,
1024478,2020-06-09,ROK,Genovesi John A,isOfficer,0001246360-20-001401,2020-06-08,S,51.0,226.5312,3392.0,D,,,,,,
1024478,2020-07-31,ROK,Kulaszewicz Frank C,,0001240051-20-000003,2020-07-30,S,1505.0,215.7206,21749.0,D,,,,,,
1024478,2020-07-31,ROK,Kulaszewicz Frank C,,0001240051-20-000003,2020-07-30,M,3000.0,136.4,23254.0,D,,,,,,
1024478,2020-07-31,ROK,Goris Patrick P.,,0001240051-20-000002,2020-07-30,S,2600.0,220.0025,9742.96,D,,,,,,
1024478,2020-07-31,ROK,Goris Patrick P.,,0001240051-20-000002,2020-07-30,M,2600.0,108.89,12342.96,D,,,,,,
1024478,2020-08-04,ROK,MILLER JOHN M,,0001820074-20-000001,2020-08-03,S,500.0,220.815,3905.0,D,,,,,,
1024478,2020-08-06,ROK,Murphy Robert B,,0001240051-20-000004,2020-08-05,S,2500.0,222.6169,2856.0,D,,,,,,
1024478,2020-08-06,ROK,Murphy Robert B,,0001240051-20-000004,2020-08-05,M,2500.0,104.08,5356.0,D,,,,,,
1024478,2020-08-06,ROK,Etzel Steven W.,,0001240051-20-000005,2020-08-06,M,900.0,108.89,9823.0,D,,,,,,
1024478,2020-08-06,ROK,Etzel Steven W.,,0001240051-20-000005,2020-08-06,S,900.0,222.1851,8923.0,D,,,,,,
1024478,2020-08-12,ROK,Kulaszewicz Frank C,,0001820074-20-000004,2020-08-11,M,5833.0,171.46,24542.0,D,,,,,,
1024478,2020-08-12,ROK,Kulaszewicz Frank C,,0001820074-20-000004,2020-08-11,S,5833.0,232.8607,18709.0,D,,,,,,
1024478,2020-08-12,ROK,Chand Sujeet,,0001820074-20-000003,2020-08-11,M,7000.0,115.69,35665.0,D,,,,,,
1024478,2020-08-12,ROK,Chand Sujeet,,0001820074-20-000003,2020-08-11,S,11500.0,234.0219,28665.0,D,,,,,,
1024478,2020-08-12,ROK,Etzel Steven W.,,0001820074-20-000002,2020-08-10,M,1000.0,115.69,9923.0,D,,,,,,
1024478,2020-08-12,ROK,Etzel Steven W.,,0001820074-20-000002,2020-08-10,S,1000.0,229.885,8923.0,D,,,,,,
1024478,2020-08-28,ROK,Chand Sujeet,isOfficer,0001246360-20-001499,2020-08-27,G,10.0,0.0,28655.0,D,,,,,,
1024478,2020-10-02,ROK,Kingsley Lawrence D,isDirector,0001246360-20-001557,2020-10-01,A,490.0,0.0,8136.868,D,,,,,,
1024478,2020-10-02,ROK,Parfet Donald R,isDirector,0001246360-20-001556,2020-10-01,A,490.0,0.0,11267.0,D,,,,,,
1024478,2020-10-02,ROK,Woods Isaac,isOfficer,0001246360-20-001555,2020-10-01,A,350.0,0.0,420.0,D,,,,,,
1024478,2020-10-05,ROK,PAYNE LISA A,isDirector,0001246360-20-001561,2020-10-01,A,490.0,0.0,5854.0,D,,,,,,
1024478,2020-10-05,ROK,KALMANSON STEVEN R,isDirector,0001246360-20-001559,2020-10-01,A,490.0,0.0,11452.0,D,,,,,,
1024478,2020-10-05,ROK,Murphy Pam,isDirector,0001246360-20-001563,2020-10-01,A,490.0,0.0,1747.0,D,,,,,,
1024478,2020-10-05,ROK,KEANE JAMES P,isDirector,0001246360-20-001560,2020-10-01,A,490.0,0.0,11452.0,D,,,,,,
1024478,2020-10-05,ROK,House Rebecca W,,0001820074-20-000008,2020-10-01,A,1370.0,0.0,5465.0,D,,,,,,
1024478,2020-10-05,ROK,Watson Patricia A,isDirector,0001246360-20-001564,2020-10-01,A,490.0,0.0,3137.0,D,,,,,,
1024478,2020-10-05,ROK,Rosamilia Thomas W,isDirector,0001246360-20-001562,2020-10-01,A,490.0,0.0,4540.0,D,,,,,,
1024478,2020-10-05,ROK,Nardecchia Christopher,isOfficer,0001246360-20-001594,2020-10-01,A,4220.0,0.0,7920.0,D,,,,,,
1024478,2020-11-03,ROK,Nardecchia Christopher,isOfficer,0001246360-20-001753,2020-11-02,S,319.0,245.727,7601.0,D,,,,,,
1024478,2020-11-03,ROK,Nicolas Ernest,isOfficer,0001246360-20-001752,2020-11-02,S,291.0,245.82,5206.5,D,,,,,,
1024478,2020-11-03,ROK,Etzel Steven W.,isOfficer,0001246360-20-001751,2020-11-02,S,60.0,244.9849,8863.0,D,,,,,,
1024478,2020-11-05,ROK,Gipson William P,isDirector,0001246360-20-001784,2020-11-04,A,448.0,0.0,448.0,D,,,,,,
1024478,2020-11-13,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-20-001830,2020-11-12,S,8190.0,238.1794,53119.0,D,,,,,,
1024478,2020-11-13,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-20-001830,2020-11-13,S,5804.0,238.2689,46413.0,D,,,,,,
1024478,2020-11-13,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-20-001830,2020-11-13,M,5804.0,80.11,52217.0,D,,,,,,
1024478,2020-11-13,ROK,Moret Blake D.,"isDirector,isOfficer",0001246360-20-001830,2020-11-12,M,14896.0,80.11,61309.0,D,,,,,,
1024478,2020-11-13,ROK,Goris Patrick P.,isOfficer,0001246360-20-001831,2020-11-13,S,12701.0,237.993,19905.96,D,,,,,,
1024478,2020-11-13,ROK,Goris Patrick P.,isOfficer,0001246360-20-001831,2020-11-12,M,3468.0,104.08,13210.96,D,,,,,,
1024478,2020-11-13,ROK,Goris Patrick P.,isOfficer,0001246360-20-001831,2020-11-13,M,3100.0,136.4,12842.96,D,,,,,,
1024478,2020-11-13,ROK,Goris Patrick P.,isOfficer,0001246360-20-001831,2020-11-12,S,3468.0,237.2285,9742.96,D,,,,,,
1024478,2020-11-20,ROK,Woods Isaac,isOfficer,0001246360-20-001844,2020-11-20,M,297.0,136.4,717.0,D,,,,,,
1024478,2020-11-20,ROK,Woods Isaac,isOfficer,0001246360-20-001844,2020-11-20,S,297.0,250.0715,420.0,D,,,,,,
1024478,2020-11-20,ROK,Kulaszewicz Frank C,isOfficer,0001246360-20-001843,2020-11-20,M,166.0,171.46,18875.0,D,,,,,,
1024478,2020-11-20,ROK,Fooks Elik I,isOfficer,0001246360-20-001842,2020-11-19,S,7000.0,246.0321,3896.8046,D,,,,,,
1024478,2020-11-30,ROK,Donato Thomas,isOfficer,0001246360-20-001853,2020-11-25,S,1500.0,255.0,969.0,D,,,,,,
1024478,2020-11-30,ROK,Chand Sujeet,isOfficer,0001246360-20-001852,2020-11-25,G,20.0,0.0,28635.0,D,,,,,,
1024478,2020-12-10,ROK,Wlodarczyk Francis,isOfficer,0001246360-20-001899,2020-12-08,M,354.0,0.0,7130.0,D,,,,,,
1024478,2020-12-10,ROK,House Rebecca W,isOfficer,0001246360-20-001893,2020-12-09,S,478.0,249.5009,6373.0,D,,,,,,
1024478,2020-12-10,ROK,Nicolas Ernest,isOfficer,0001246360-20-001898,2020-12-08,M,261.0,0.0,5467.5,D,,,,,,
1024478,2020-12-10,ROK,Genovesi John A,isOfficer,0001246360-20-001892,2020-12-08,M,521.0,0.0,3913.0,D,,,,,,
1024478,2020-12-10,ROK,Chand Sujeet,isOfficer,0001246360-20-001886,2020-12-09,S,700.0,249.69,29349.0,D,,,,,,
1024478,2020-12-10,ROK,Chand Sujeet,isOfficer,0001246360-20-001886,2020-12-08,M,1414.0,0.0,30049.0,D,,,,,,
1024478,2020-12-10,ROK,Fooks Elik I,isOfficer,0001246360-20-001887,2020-12-09,S,277.0,249.5549,4401.8046,D,,,,,,
1024478,2020-12-10,ROK,Donato Thomas,isOfficer,0001246360-20-001889,2020-12-09,S,344.0,249.6533,1386.0,D,,,,,,
1024478,2020-12-10,ROK,MILLER JOHN M,isOfficer,0001246360-20-001891,2020-12-08,M,279.0,0.0,4184.0,D,,,,,,
1024478,2020-12-10,ROK,Murphy Robert B,isOfficer,0001246360-20-001894,2020-12-09,S,101.0,250.5136,3434.0,D,,,,,,
1024478,2020-12-10,ROK,Etzel Steven W.,isOfficer,0001246360-20-001888,2020-12-08,M,335.0,0.0,9198.0,D,,,,,,
1024478,2020-12-10,ROK,MILLER JOHN M,isOfficer,0001246360-20-001891,2020-12-09,S,28.0,250.9602,4156.0,D,,,,,,
1024478,2020-12-10,ROK,Kulaszewicz Frank C,isOfficer,0001246360-20-001890,2020-12-08,M,2242.0,0.0,21450.0,D,,,,,,
1024478,2020-12-10,ROK,Etzel Steven W.,isOfficer,0001246360-20-001888,2020-12-09,S,33.0,250.957,9165.0,D,,,,,,
1024478,2020-12-10,ROK,Murphy Robert B,isOfficer,0001246360-20-001894,2020-12-08,M,679.0,0.0,3535.0,D,,,,,,
1024478,2020-12-10,ROK,Riesterer Terry L.,isOfficer,0001246360-20-001897,2020-12-08,M,252.0,0.0,954.0,D,,,,,,
